"","SAMPLEID","ReferenceSite","nt_EPT_resid","pt_ti_cowa_warm_stenowarm_resid","pi_habitat_rheo","pi_NonIns","pi_Colesens_resid","MMI.2024"
"49","13270-ORDEQ:19990827:R:SR","REFERENCE",0.801607008206265,0.760207385021939,0.938963399505077,1,0.151020906242552,0.730359739795167
"50","134605","REFERENCE",0.632727395951157,0.803562939181555,0.15223136208495,1,0.664338211322581,0.650571981708049
"51","134734","REFERENCE",0.760905095360548,0.560852390169214,0.748408371235371,1,0.85387280223219,0.784807731799465
"52","140016","REFERENCE",0.897854619623623,0.511549860679064,0.932135877199966,1,0.50679633105237,0.769667337711005
"53","143095","REFERENCE",0.75560088081559,0.436109469537424,0.812150567182271,0.984375,0.898653305702555,0.777377844647568
"54","143170","REFERENCE",0.710428630358387,0.706808075237606,0.294713917730963,0.8984375,1,0.722077624665391
"55","144957","REFERENCE",0.770997983332424,0.538248582220893,0.51968637401414,0.65625,0.921363898354815,0.681309367584454
"56","148021","REFERENCE",0.60159858881448,0.878316134292843,0.725911125607053,0.88671875,0.73856709785426,0.766222339313727
"57","149814","REFERENCE",0.753874622774364,0.972746422344855,0.763406534987583,0.91796875,0.777441067773623,0.837087479576085
"58","149822","REFERENCE",0.28825158426279,0.971369532186179,0.523435914952193,0.953125,0.698289654728002,0.686894337225833
"59","150509","REFERENCE",0.714764571414985,0.928246809545217,1,0.984375,0.685523280821148,0.86258193235627
"60","151144","REFERENCE",0.808368636991021,0.669291497751695,0.872143222191119,0.95703125,0.674726133539631,0.796312148094693
"61","151682","REFERENCE",0.716844244008187,0.674310855401777,0.654669847784047,0.87109375,0.667994578567119,0.716982655152226
"62","152645","REFERENCE",0.656512991231836,0.716982104980885,0.662168929660153,0.88671875,0.886577293877427,0.76179201395006
"63","153187","REFERENCE",0.776111931809208,0.656099575584301,0.748408371235371,0.90625,0,0.617373975725776
"64","153188","REFERENCE",0.435926307722745,0.441493160017617,0.332209327111492,0.98828125,0.709195244713507,0.581421057913072
"65","153620","REFERENCE",0.802528257465722,0.94669830371793,0.830898271872536,1,0.698145723362996,0.855654111283837
"66","153706","REFERENCE",0.719195366727184,0.708328213099426,0.665918470598206,0.9609375,0.681910001023726,0.747257910289708
"67","155833","REFERENCE",0.571082916095571,0.321922583338854,1,0.9375,0,0.566101099886885
"68","155870","REFERENCE",0.654143283790811,0.210868111606251,0.25346896741238,0.3671875,1,0.497133572561888
"69","155884","REFERENCE",0.570918029772433,0.97820730127563,0.39220198212034,0.98046875,0.650950866120152,0.714549385857711
"70","164022","REFERENCE",0.544771675369834,1,0.365955195553969,0.94921875,1,0.771989124184761
"71","167361","REFERENCE",0.520334387342953,0.687697168118693,0,1,1,0.641606311092329
"72","17007-ORDEQ:19980824:R:SR","REFERENCE",0.601983617796489,0.516047233397072,0.755907453111477,0.90625,0.597226365277642,0.675482933916536
"73","17010-ORDEQ:19980825:R:SR","REFERENCE",0.605198119516458,0.553000889141605,0.778404698739795,0.859375,0.683542728065588,0.695904287092689
"74","171833","REFERENCE",0.564703303555388,0.896648506690999,0.332209327111492,0.95703125,1,0.750118477471576
"75","171837","REFERENCE",0.738887799599375,0.605850953196457,0.707163420916788,0.91796875,0.307477747907279,0.65546973432398
"76","171840","REFERENCE",0.78375530790781,0.538806591459748,0.478441423695558,0.8359375,0.570267564951502,0.641441677602923
"77","171842","REFERENCE",0.776275043174637,0.649998671124401,0.635922143093782,0.9609375,0.806214334685382,0.76586953841564
"78","171844","REFERENCE",0.880399557382275,1,0.928386336261913,0.94921875,0.68303446235755,0.888207821200348
"79","171847","REFERENCE",0.80900181455505,0.76248877112965,0.549682701518564,0.98828125,0.569483426994912,0.735787592839635
"80","171852","REFERENCE",0.413500847207407,0.78731575743374,0.215973558031851,0.84765625,0.99791659662781,0.652472601860162
"81","171869","REFERENCE",0.574740783009258,0.39517164437993,0.294713917730963,0.26953125,0.531771153253924,0.413185749674815
"82","171945","REFERENCE",0.499407001217966,0.986203159290603,0.0959882480141558,0.95703125,0.918622157309351,0.691450363166415
"83","171946","REFERENCE",0.475181670716066,0.990681096565074,0,0.05859375,1,0.504891303456228
"84","171970","REFERENCE",0.759064029156128,0.691578056350325,0.0659919205097321,0.6015625,1,0.623639301203237
"85","210808","REFERENCE",0.771200598717402,0.771168016465667,0.984629450332708,0.99609375,0.649011377900803,0.834420638683316
"86","21821-ORDEQ:19980813:R:SR-3","REFERENCE",0.342016706134304,0.432034107030355,0.688415716226524,0.99609375,0.674763268560906,0.626664709590418
"87","21842-ORDEQ:20070806:R:SR","REFERENCE",0.665467830937927,0.675113204160862,0.793402862492007,0.98046875,0.519147741512673,0.726720077820694
"88","21855-ORDEQ:19990727:R:SR","REFERENCE",0.677231733932358,0.764406651519214,0.982210804471643,0.979908809726962,0.75855486816152,0.83246257356234
"89","21857-ORDEQ:19980808:R:SR-1","REFERENCE",0.978857800265301,0.907710450371281,0.932135877199966,0.8671875,0.686007568049454,0.8743798391772
"90","21864-ORDEQ:19990922:R:SR","REFERENCE",0.881376812348663,0.723911767404984,0.335958868049545,0.95703125,0.714022117605746,0.722460163081788
"91","21868-ORDEQ:19990831:R:SR","REFERENCE",0.735707992170976,0.852622316956535,0.83004553346522,0.976471049331104,0.678551139028845,0.814679606190536
"92","21876-ORDEQ:19990928:R:SR","REFERENCE",0.8314818984468,0.811325608923223,0.569038439874459,0.849503800675676,0.673947316178555,0.747059412819743
"93","21878-ORDEQ:19980729:R:SR-3","REFERENCE",0.717909290661759,0.896675040806793,0.740909289359265,0.99609375,0.746494151954899,0.819616304556543
"94","21881-ORDEQ:19990713:R:SR","REFERENCE",0.786960453056095,0.938952040527651,0.632172602155729,0.80859375,0.729320653186835,0.779199899785262
"95","22946-ORDEQ:20000822:R:SR","REFERENCE",0.773120070496387,0.727191440402827,1,1,0.712663043162022,0.842594910812247
"96","23034-ORDEQ:20150917:R:SR","REFERENCE",0.705720724398249,0.808570851005542,0.883391845005278,0.93359375,1,0.866255434081814
"97","23048-ORDEQ:19990826:R:SR","REFERENCE",0.675069361697061,0.966434587846763,0.92463679532386,0.99609375,1,0.912446898973537
"98","23844-ORDEQ:20000711:R:SR","REFERENCE",0.981039874885431,0.87109368620849,0.650920306845994,0.91015625,0.739814225363585,0.8306048686607
"99","23856-ORDEQ:20000712:R:SR","REFERENCE",0.585885812776459,0.663290054523319,0.512187292138034,0.94140625,0.70829950826107,0.682213783539776
"100","23901-ORDEQ:20000907:R:SR","REFERENCE",0.596591354052107,0.683411265545222,0.969631286580496,0.953125,0.642314669346808,0.769014715104927
"101","23903-ORDEQ:20000822:R:SR","REFERENCE",0.72074611102297,0.771106710788589,0.959882480141558,0.99453125,0.703373164321619,0.829927943254947
"102","23925-ORDEQ:20000828:R:SR","REFERENCE",0.863729365765024,0.987951850250473,0.748408371235371,0.92578125,0.751818224498678,0.855537812349909
"103","23926-ORDEQ:20000823:R:SR","REFERENCE",0.719137473271216,0.941806848732116,0.669668011536259,0.91015625,0.649692194552427,0.778092155618404
"104","24043-ORDEQ:20000816:R:SR","REFERENCE",0.942155117579886,0.635113427423056,0.744658830297318,0.8515625,0.667937983240831,0.768285571708218
"105","24044-ORDEQ:20000913:R:SR","REFERENCE",0.594118098131077,0.350743829687221,0.542183619642458,0.95703125,0.648836137005372,0.618582586893226
"106","24046-ORDEQ:20000803:R:SR","REFERENCE",1,0.687712792535119,0.977130368456602,1,0.572654830445406,0.847499598287425
"107","24056-ORDEQ:20000913:R:SR","REFERENCE",0.852707167804708,0.55933869760876,0.590927651837147,0.9140625,0.733549960665491,0.730117195583221
"108","24062-ORDEQ:20000912:R:SR","REFERENCE",0.616047346160601,0.883301040391175,0.947134040952178,0.98828125,0.845752782254474,0.856103291951686
"109","24068-ORDEQ:20000808:R:SR","REFERENCE",0.818585539680918,0.335554607497577,0.729660666545106,0.96484375,0.590047873326601,0.687738487410041
"110","24412-ORDEQ:20000821:R:SR","REFERENCE",0.820251796041185,0.673940129912277,0.830898271872536,0.86328125,0.739770828209865,0.785628455207173
"111","24419-ORDEQ:20000815:R:SR","REFERENCE",0.715492825356561,0.797665564696724,0.527185455890246,0.89453125,0.766528160726307,0.740280651333968
"112","24422-ORDEQ:20000824:R:SR","REFERENCE",0.828888011521824,0.153607906765409,0.313461622421228,0.90625,0.625654512877993,0.565572410717291
"113","24426-ORDEQ:20010719:R:SR","REFERENCE",0.585914498102775,0.947383235729297,0.324710245235386,0.44921875,0.814581242143539,0.6243615942422
"114","24453-ORDEQ:20000829:R:SR","REFERENCE",0.692616647536085,0.560790975353814,0.665918470598206,0.9453125,0.692654446439536,0.711458607985528
"115","24455-ORDEQ:20000828:R:SR","REFERENCE",0.926140298626241,0.824185315775784,0.845896435624748,0.92578125,0.612213501668384,0.826843360339031
"116","25284-ORDEQ:20010807:R:SR","REFERENCE",0.967242054133318,0.796368292099827,0.98988904530042,0.931913929180887,0.588045914097897,0.85469184696247
"117","25374-ORDEQ:20010801:R:SR","REFERENCE",0.800603354663281,0.796650696171052,0.939634959076072,0.8828125,0.672499424068461,0.818440186795773
"118","25386-ORDEQ:20010906:R:SR","REFERENCE",0.618510680235407,0.675722216994881,0.530934996828299,0.7265625,0.667706861444615,0.64388745110064
"119","25417-ORDEQ:20010801:R:SR","REFERENCE",0.690826320043864,0.377554923249394,0.568430406208829,0.81640625,0.518461121763365,0.59433580425309
"120","25425-ORDEQ:20010730:R:SR","REFERENCE",1,0.733779048578821,0.564680865270776,0.9140625,0.898273707142205,0.82215922419836
"121","26806-ORDEQ:20020904:R:SR","REFERENCE",0.783437478104959,0.865396201841611,0.673417552474312,0.9296875,0.699897343422349,0.790367215168646
"122","26854-ORDEQ:20020813:R:SR","REFERENCE",0.577046774835256,0.739612757931815,0.778404698739795,0.96875,0.727070081880096,0.758176862677392
"123","26886-ORDEQ:20020716:R:SR","REFERENCE",0.7190301587143,0.951225361204555,0.969631286580496,0.62109375,0.829240654329158,0.818044242165702
"124","26895-ORDEQ:20020724:R:SR","REFERENCE",0.629161510472518,0.666112438936164,0.369704736492022,0.96484375,0.820992585571117,0.690163004294364
"125","26902-ORDEQ:20020716:R:SR","REFERENCE",0.506222519289591,0.488435415484594,0.684666175288471,0.828125,0.508541104713598,0.603198042955251
"126","26906-ORDEQ:20020723:R:SR","REFERENCE",0.6000493481638,0.830955225425236,0.875892763129172,0.53515625,1,0.768410717343642
"127","26929-ORDEQ:20020711:R:SR","REFERENCE",0.789242464105319,0.857135260405331,0.632172602155729,0.9375,0.928253760861031,0.828860817505482
"128","26936-ORDEQ:20030730:R:SR","REFERENCE",0.733661683628344,0.732706412135377,0.590927651837147,0.9765625,0.775406569035844,0.761852963327342
"129","26950-ORDEQ:20020731:R:SR","REFERENCE",0.898622601587007,0.47523710339119,0.943384500014125,0.93359375,0.631077872327785,0.776383165464021
"130","26952-ORDEQ:20020905:R:SR","REFERENCE",0.690342056276188,0.663007263030998,0.932135877199966,0.93359375,0.742141238691408,0.792244037039712
"131","26958-ORDEQ:20020910:R:SR","REFERENCE",0.863779399460029,0.522814856456005,0.639671684031835,0.95703125,0.658613522566202,0.728382142502814
"132","26966-ORDEQ:20020913:R:SR","REFERENCE",0.623330086437244,0.84385370072697,0.913388172509701,0.9453125,0.682647711518171,0.801706434238417
"133","29027-ORDEQ:20020808:R:SR","REFERENCE",0.63033356605078,0.752583858874728,0.868393681253066,0.99609375,0.536482291792666,0.756777429594248
"134","29879-ORDEQ:20030826:R:SR","REFERENCE",0.702993787410669,0.761142689269906,0.898390008757489,0.921875,0.666675793006638,0.79021545568894
"135","29900-ORDEQ:20030806:R:SR","REFERENCE",0.529388151414853,0.982970984788056,0.609675356527411,0.9921875,0.67425086761209,0.757694572068482
"136","30339-ORDEQ:20030924:R:SR","REFERENCE",0.777859742809605,0.73194645959897,0.875892763129172,0.98046875,0.68255001181763,0.809743545471075
"137","30354-ORDEQ:20030827:R:SR","REFERENCE",0.729120439173745,0.855009875552883,0.51968637401414,0.9296875,0.641512095215931,0.73500325679134
"138","30379-ORDEQ:20030723:R:SR","REFERENCE",0.82095793968021,0.624586411022452,0.830898271872536,1,0.975946924485713,0.850477909412182
"139","30383-ORDEQ:20030724:R:SR","REFERENCE",0.590817935829744,0.601977637126102,0.744658830297318,0.9375,0.761262886751557,0.727243458000944
"140","30387-ORDEQ:20030722:R:SR","REFERENCE",1,0.721898208606572,0.808401026244218,0.95703125,0.66286473062349,0.830039043094856
"141","30389-ORDEQ:20030728:R:SR","REFERENCE",0.74165410843113,0.633843578264579,0.763406534987583,0.9609375,0.134182674590473,0.646804879254753
"142","30392-ORDEQ:20030730:R:SR","REFERENCE",0.865589923084112,0.781278811020741,0.774655157801742,0.84375,0.797368317271308,0.812528441835581
"143","30396-ORDEQ:20030827:R:SR","REFERENCE",1,0.791630887454828,0.710912961854841,0.875,0.377792730876123,0.751067316037159
"144","30421-ORDEQ:20030730:R:SR","REFERENCE",0.916495677153846,0.836053827288412,0.677167093412365,0.890625,1,0.864068319570925
"145","30621-ORDEQ:20030924:R:SR","REFERENCE",1,0.91602283112021,0.842146894686695,0.94921875,0.487957785759268,0.839069252313235
"146","30623-ORDEQ:20030819:R:SR","REFERENCE",0.858859392494332,0.814436370682959,0.789653321553954,0.921875,0.727076428001753,0.8223801025466
"147","30625-ORDEQ:20030818:R:SR","REFERENCE",0.816122571951076,0.761877596531149,0.609675356527411,0.88671875,0.753293988109636,0.765537652623855
"148","30628-ORDEQ:20030902:R:SR","REFERENCE",0.799078116424157,0.695028531675545,0.812150567182271,0.94921875,0.690359755232346,0.789167144102864
"149","30629-ORDEQ:20030918:R:SR","REFERENCE",0.698884579424593,0.74233790338751,0.729660666545106,0.9375,0.599866764468066,0.741649982765055
"150","30727-ORDEQ:20030820:R:SR","REFERENCE",0.786113545732545,0.627571848601887,0.748408371235371,0.96484375,0.735343981988346,0.77245629951163
"151","31354-ORDEQ:20040707:R:SR","REFERENCE",0.970962381724891,0.772267441227719,0.950883581890231,0.99609375,0.676092341941623,0.873259899356893
"152","31387-ORDEQ:20040708:R:SR","REFERENCE",0.882978881464493,0.427430690248155,0.75965699404953,0.97265625,0.640103484275859,0.736565260007607
"153","31467-ORDEQ:20070918:R:SR","REFERENCE",0.442822035217664,0.288882831210565,1,0.9921875,0.814981398118956,0.707774752909437
"154","31477-ORDEQ:20040715:R:SR","REFERENCE",0.849576138234268,0.626209668547075,0.82339918999643,0.98828125,0.708805324058091,0.799254314167173
"155","31480-ORDEQ:20040804:R:SR","REFERENCE",0.5302316922998,0.79907916159634,0.92463679532386,0.94140625,0.674688686172028,0.774008517078406
"156","31485-ORDEQ:20040802:R:SR","REFERENCE",1,0.706601972668411,0.707163420916788,0.94921875,0.708096692450346,0.814216167207109
"157","31488-ORDEQ:20040630:R:SR","REFERENCE",0.809922110404165,1,0.632172602155729,0.9921875,1,0.886856442511979
"158","31489-ORDEQ:20040630:R:SR","REFERENCE",0.817727072544738,0.831955715619847,0.680916634350418,0.9921875,0.836530503007736,0.831863485104548
"159","31490-ORDEQ:20040628:R:SR","REFERENCE",0.61812289138894,0.895952805464063,0.41844876868671,0.99609375,0.905346023299538,0.76679284776785
"160","31495-ORDEQ:20040624:R:SR","REFERENCE",0.722789306872442,0.378524073112363,0.774655157801742,0.90625,0.172744600840275,0.590992627725364
"161","31497-ORDEQ:20040624:R:SR","REFERENCE",0.8614573419279,1,0.485940505571664,0.90234375,0.859816807012687,0.82191168090245
"162","31730-ORDEQ:20040901:R:SR","REFERENCE",0.78612710756469,0.79473852304043,0.654669847784047,0.8828125,0.76130123090558,0.77592984185895
"163","31803-ORDEQ:20040929:R:SR","REFERENCE",0.518145589809959,0.784942513988097,0.459693719005293,0.79296875,0.53813406556413,0.618776927673496
"164","32149-ORDEQ:20050803:R:SR","REFERENCE",0.52121371691251,0.199772712107974,0.984629450332708,0.95703125,0.490260051756983,0.630581436222035
"165","32481-ORDEQ:20050713:R:SR","REFERENCE",0.952101216431525,0.9313156829147,0.643421224969888,0.8046875,0.697100136475739,0.80572515215837
"166","32485-ORDEQ:20050713:R:SR","REFERENCE",0.562843359501223,0.471858796575937,0.902139549695542,0.93359375,0.690418019213869,0.712170694997314
"167","32486-ORDEQ:20050713:R:SR","REFERENCE",0.654453296422278,0.648328656010112,0.609675356527411,0.77734375,0.658917467172194,0.669743705226399
"168","32487-ORDEQ:20050713:R:SR","REFERENCE",0.847528099335954,0.553248078347253,0.890890926881384,0.93359375,0.616396444281676,0.768331459769253
"169","32488-ORDEQ:20050728:R:SR","REFERENCE",0.64164556478018,0.368441006755538,0.800901944368113,0.96484375,0.591688046483908,0.673504062477548
"170","32489-ORDEQ:20050728:R:SR","REFERENCE",0.695080691234184,0.608218232589942,0.999627614084919,0.99609375,0.628961015304969,0.785596260642803
"171","32490-ORDEQ:20050729:R:SR","REFERENCE",0.786766182858504,0.68170049542511,0.770905616863689,0.9609375,0.581196192308868,0.756301197491234
"172","32556-ORDEQ:20050803:R:SR","REFERENCE",0.970825424539683,0.373646484285886,0.800901944368113,0.8984375,0.248917783241489,0.658545827287034
"173","32576-ORDEQ:20050907:R:SR","REFERENCE",0.656266659642201,0.805627840326673,0.819649649058377,0.58203125,0.760058498822621,0.724726779569975
"174","32577-ORDEQ:20050907:R:SR","REFERENCE",0.711856261198369,0.713047066365181,0.69591479810263,0.6875,0.358717092705059,0.633407043674248
"175","32585-ORDEQ:20050915:R:SR","REFERENCE",0.689531342447142,0.689736480943372,0.845896435624748,0.9296875,0.748123608612515,0.780595073525555
"176","33336-ORDEQ:20060818:R:SR","REFERENCE",1,0.730747629167188,0.763406534987583,0.875,0.653158727994718,0.804462578429898
"177","33342-ORDEQ:20060906:R:SR","REFERENCE",0.990462008321483,0.723276370893344,0.849645976562801,0.9296875,0.581575529736448,0.814929477102815
"178","33419-ORDEQ:20060919:R:SR","REFERENCE",0.829673406416311,0.749054922274411,0.797152403430059,0.84375,0.699051455931435,0.783736437610443
"179","34468-ORDEQ:20070924:R:SR","REFERENCE",0.84327364315167,0.308846093519765,0.977130368456602,1,0.714746364562586,0.768799293938124
"180","34470-ORDEQ:20070731:R:SR","REFERENCE",1,0.58352632396465,1,0.94921875,0.708826318139055,0.848314278420741
"181","34471-ORDEQ:20070905:R:SR","REFERENCE",0.841181744428694,0.763599114128844,0.920887254385807,0.98828125,0.325760683393612,0.767942009267391
"182","34477-ORDEQ:20070821:R:SR","REFERENCE",0.861246823264513,0.654879447027615,0.864644140315013,0.984375,0.225650846365167,0.718159251394462
"183","34614-ORDEQ:20070827:R:SR","REFERENCE",0.865773636096391,0.351246468219851,0.894640467819437,0.9921875,0.77801495932005,0.776372606291146
"184","34636-ORDEQ:20070816:R:SR","REFERENCE",0.519456112527929,0.143416135731744,0.55718178339467,0.9921875,0.72220802580314,0.586889911491497
"185","34643-ORDEQ:20070918:R:SR","REFERENCE",0.821537086699456,0.519570173602963,0.572179947146882,0.86328125,0.643667711715827,0.684047233833026
"186","34661-ORDEQ:20070912:R:SR","REFERENCE",0.874462613184741,0.571216800043517,0.800901944368113,1,0.679328776376973,0.785182026794669
"187","35615-ORDEQ:20000628:R:SR","REFERENCE",0.800098951297905,0.473506238301377,0.92463679532386,0.99609375,0.0474475504042481,0.648356657065478
"188","35619-ORDEQ:20000703:R:SR","REFERENCE",0.804416000438394,0.629652154872004,0.849645976562801,0.9609375,0.748351329906449,0.79860059235593
"189","35622-ORDEQ:20000706:R:SR","REFERENCE",0.543075567257092,0.637973645717328,0.827148730934483,0.9375,0.0400685557478239,0.597153299931345
"190","35623-ORDEQ:20000707:R:SR","REFERENCE",0.936455539096595,0.773645990435164,0.6584193887221,0.9140625,0,0.656516683650772
"191","35624-ORDEQ:20000723:R:SR","REFERENCE",0.681479450692022,0.852954147973759,0.635922143093782,0.91015625,0.797460233832839,0.77559444511848
"192","35626-ORDEQ:20000728:R:SR","REFERENCE",0.796563726429005,0.767460591245295,0.710912961854841,0.89453125,0.629448155410649,0.759783336987958
"193","35627-ORDEQ:20000729:R:SR","REFERENCE",0.509118086840132,1,1,1,0.720524568308674,0.845928531029761
"194","35629-ORDEQ:20000802:R:SR","REFERENCE",0.563167551142518,0.627469627990342,0.598426733713253,0.84375,0.7356285490209,0.673688492373403
"195","35634-ORDEQ:20000813:R:SR","REFERENCE",0.896360238301509,0.800894005495444,0.703413879978736,0.98046875,0.926027579925906,0.861432890740319
"196","35694-ORDEQ:20150818:R:SR","REFERENCE",0.909102390524552,0.669692686575974,0.815900108120324,0.93359375,0.477564211916282,0.761170629427426
"197","35696-ORDEQ:19980727:R:SR-1","REFERENCE",0.600639819242132,0.782425904901573,1,0.999892979452055,0.722905584642705,0.821172857647693
"198","35702-ORDEQ:19980729:R:SR-3","REFERENCE",0.605605346102609,0.814369936011735,0.890890926881384,0.9921875,0.600898335325323,0.78079040886421
"199","35704-ORDEQ:19980728:R:SR-1","REFERENCE",0.628889581741933,0.805153009715021,0.950883581890231,0.98828125,0.740094274652662,0.822660339599969
