"","SAMPLEID","ReferenceSite","pt_tv_intol_resid","nt_habitat_rheo_resid","pt_ti_stenocold_cold_cool_resid","pi_EPTNoHydro_resid","MMI.2024"
"52","150509","REFERENCE",0.967124938586285,0.63765228822851,1,1,0.901194306703699
"53","151144","REFERENCE",0.844258625450583,0.821429101550747,0.586531306668192,0.52769205779767,0.694977772866798
"54","151682","REFERENCE",0.796772564220977,0.831136881834357,0.79309367041843,0.600954604712645,0.755489430296602
"55","152645","REFERENCE",0.679306022322924,0.675595199049243,0.928260198260403,0.594636341619449,0.719449440313005
"56","153620","REFERENCE",0.880662309865775,0.823246901429351,0.924600753893324,0.682937922911096,0.827861972024886
"57","153706","REFERENCE",0.66923631319507,0.651181089165232,0.646676626994879,0.677295013168271,0.661097260630863
"58","155884","REFERENCE",0.419880746555068,0.420074078070405,0.740765788372989,0.33337569062587,0.478524075906083
"59","17007-ORDEQ:19980824:R:SR","REFERENCE",0.717530403677172,0.686200801263555,0.655051224353619,0.757231261592377,0.704003422721681
"60","17010-ORDEQ:19980825:R:SR","REFERENCE",0.839816572856838,0.646612279901755,0.755798225142026,0.667659211474124,0.727471572343686
"61","210808","REFERENCE",0.985770759619553,0.679771411453327,0.838618869990215,0.945205535114121,0.862341644044304
"62","21821-ORDEQ:19980813:R:SR-3","REFERENCE",0.700681814445744,0.430688585123195,0.228448015871379,0.573120302085433,0.483234679381438
"63","21842-ORDEQ:20070806:R:SR","REFERENCE",0.832332542244283,0.683673027930486,0.790465665454896,0.751983302004336,0.7646136344085
"64","21855-ORDEQ:19990727:R:SR","REFERENCE",0.789454765743903,0.711919480429537,0.80266449795339,0.977147252803778,0.820296499232652
"65","21857-ORDEQ:19980808:R:SR-1","REFERENCE",0.832315056771387,0.725004252303051,0.675796877712422,0.78503085874864,0.754536761383875
"66","21864-ORDEQ:19990922:R:SR","REFERENCE",0.705985140757514,0.87362147775929,0.786152537671059,0.425265011042736,0.69775604180765
"67","21868-ORDEQ:19990831:R:SR","REFERENCE",0.841999596668796,0.729408642573436,0.643254640054466,0.818247397560486,0.758227569214296
"68","21876-ORDEQ:19990928:R:SR","REFERENCE",0.858146989268245,0.779503099682261,0.978604904800372,0.364720645516086,0.745243909816741
"69","21878-ORDEQ:19980729:R:SR-3","REFERENCE",1,0.498228317310109,0.602289434989658,0.644163698458928,0.686170362689674
"70","21881-ORDEQ:19990713:R:SR","REFERENCE",0.901414330577617,0.749003979909174,0.963467420867233,0.639722208904839,0.813401985064716
"71","22946-ORDEQ:20000822:R:SR","REFERENCE",1,0.762632312751941,1,0.921065647644549,0.920924490099123
"72","23844-ORDEQ:20000711:R:SR","REFERENCE",1,0.87874304977506,0.99291045533341,0.660737648896974,0.883097788501361
"73","23856-ORDEQ:20000712:R:SR","REFERENCE",0.64524854634292,0.566908617262222,0.678315351437626,0.422906414863775,0.578344732476636
"74","23901-ORDEQ:20000907:R:SR","REFERENCE",0.744446918281357,0.757462804647215,0.694741599067309,0.7915742855393,0.747056401883795
"75","23903-ORDEQ:20000822:R:SR","REFERENCE",0.91436848657168,0.711123907081178,0.930280045447292,0.881688329339324,0.859365192109868
"76","23925-ORDEQ:20000828:R:SR","REFERENCE",0.878743587887932,0.81393826581992,1,0.646574328537223,0.834814045561269
"77","23926-ORDEQ:20000823:R:SR","REFERENCE",0.794129261598888,0.765790430716927,0.920940473636169,0.522746886373729,0.750901763081428
"78","24043-ORDEQ:20000816:R:SR","REFERENCE",0.980048859026552,0.879521672438406,0.906764091362784,0.642546514155607,0.852220284245837
"79","24044-ORDEQ:20000913:R:SR","REFERENCE",0.546458704041047,0.728858916169325,0.29228958356408,0.637518294332255,0.551281374526677
"80","24046-ORDEQ:20000803:R:SR","REFERENCE",1,0.831238625040764,0.730744265959488,0.846859882902281,0.852210693475633
"81","24056-ORDEQ:20000913:R:SR","REFERENCE",0.836452114694922,0.914384382535475,0.75084700598349,0.707396353172334,0.802269964096555
"82","24062-ORDEQ:20000912:R:SR","REFERENCE",0.708494921936416,0.690062375042117,0.582052961064876,0.448211002173153,0.60720531505414
"83","24068-ORDEQ:20000808:R:SR","REFERENCE",0.756844045981307,0.798684851305991,0.611554594872312,0.762338219983379,0.732355428035747
"84","24412-ORDEQ:20000821:R:SR","REFERENCE",0.701509449132839,0.935225413688088,0.822231589604473,0.663824990171125,0.780697860649131
"85","24419-ORDEQ:20000815:R:SR","REFERENCE",0.526445991283203,0.693106982622748,0.62241326484875,0.324331877260067,0.541574529003692
"86","24426-ORDEQ:20010719:R:SR","REFERENCE",0.406229020257269,0.544320742100338,0.683702379232947,0.311893950927608,0.48653652312954
"87","24453-ORDEQ:20000829:R:SR","REFERENCE",0.750051605023928,0.657363977292724,0.673649994661432,0.576498832687389,0.664391102416368
"88","24455-ORDEQ:20000828:R:SR","REFERENCE",0.873253365499465,0.923563244463198,0.949606569759858,0.643410965072325,0.847458536198712
"89","25284-ORDEQ:20010807:R:SR","REFERENCE",0.846909962483241,1,1,0.83426886400314,0.920294706621595
"90","25374-ORDEQ:20010801:R:SR","REFERENCE",0.626126661311545,0.863496127194555,0.771039082891387,0.710214210046939,0.742719020361107
"91","25386-ORDEQ:20010906:R:SR","REFERENCE",0.547622408867331,0.696306285758543,0.622262695224163,0.324227330551844,0.54760468010047
"92","25417-ORDEQ:20010801:R:SR","REFERENCE",0.39289210918123,0.864142382146087,0.493828031030349,0.338187507627336,0.52226250749625
"93","25425-ORDEQ:20010730:R:SR","REFERENCE",0.714826291008188,0.93987619200173,0.776871855096506,0.606294771063517,0.759467277292485
"94","26806-ORDEQ:20020904:R:SR","REFERENCE",0.647309331875508,0.779143275085184,1,0.548696521884536,0.743787282211307
"95","26854-ORDEQ:20020813:R:SR","REFERENCE",0.511112967987191,0.590391339660915,0.78838900301458,0.542498820232801,0.608098032723872
"96","26886-ORDEQ:20020716:R:SR","REFERENCE",0.682478161117358,0.674599950591671,0.844961102643069,0.454919271588724,0.664239621485206
"97","26895-ORDEQ:20020724:R:SR","REFERENCE",0.599518083660027,0.692790549211252,0.497695929152104,0.480332374541956,0.567584234141335
"98","26902-ORDEQ:20020716:R:SR","REFERENCE",0.580837027418369,0.753302239241326,0.728476378797438,0.516450341303221,0.644766496690089
"99","26906-ORDEQ:20020723:R:SR","REFERENCE",0.761455011958367,0.635239727428903,0.820157743024654,0.491413943138436,0.67706660638759
"100","26929-ORDEQ:20020711:R:SR","REFERENCE",0.557054402338188,0.646744272135868,0.877799833041316,0.70303767738536,0.696159046225183
"101","26936-ORDEQ:20030730:R:SR","REFERENCE",0.761922808823896,0.917941708553583,0.695287225215114,0.502848838651973,0.719500145311141
"102","26950-ORDEQ:20020731:R:SR","REFERENCE",0.654138625834818,0.974995245070741,0.761700091991555,0.799798131838243,0.797658023683839
"103","26952-ORDEQ:20020905:R:SR","REFERENCE",0.723956676243014,0.774580554618423,0.618258808941018,0.801966886924348,0.729690731681701
"104","26958-ORDEQ:20020910:R:SR","REFERENCE",0.599968983184402,1,0.654065013561333,0.427404028350185,0.67035950627398
"105","26966-ORDEQ:20020913:R:SR","REFERENCE",0.806712400138737,0.674145851210762,0.891249500415599,0.872935707578101,0.8112608648358
"106","29027-ORDEQ:20020808:R:SR","REFERENCE",0.688261237909811,0.655903588907329,0.883293112398756,0.694297908261644,0.730438961869385
"107","29879-ORDEQ:20030826:R:SR","REFERENCE",0.691746454352917,0.629257749909168,0.586606118429709,0.745953313315788,0.663390909001896
"108","29900-ORDEQ:20030806:R:SR","REFERENCE",0.81533816606162,0.601765028620676,0.837021407238568,0.324354947444443,0.644619887341326
"109","30339-ORDEQ:20030924:R:SR","REFERENCE",0.873109703714647,0.851206610540863,0.77553115047074,0.66197248773138,0.790454988114408
"110","30354-ORDEQ:20030827:R:SR","REFERENCE",0.867170344111632,0.756880567025878,0.942523531739833,0.405568701918274,0.743035786198904
"111","30379-ORDEQ:20030723:R:SR","REFERENCE",0.864150663687281,0.722714372704241,0.629120156522778,1,0.803996298228575
"112","30383-ORDEQ:20030724:R:SR","REFERENCE",0.578131765838813,0.699904803991446,0.604486940908285,0.396454326730046,0.569744459367147
"113","30387-ORDEQ:20030722:R:SR","REFERENCE",0.873826008590715,1,0.698145893802311,0.903859635435265,0.868957884457073
"114","30389-ORDEQ:20030728:R:SR","REFERENCE",0.82900114277161,0.714275385368787,0.721583596064554,0.543333501979786,0.702048406546184
"115","30392-ORDEQ:20030730:R:SR","REFERENCE",0.922276677433811,0.802149807576014,0.752640016977723,0.847113129330111,0.831044907829415
"116","30396-ORDEQ:20030827:R:SR","REFERENCE",0.938943877828028,1,0.782096271472635,0.635704613504158,0.839186190701205
"117","30421-ORDEQ:20030730:R:SR","REFERENCE",0.640036244957508,0.936217895264677,0.762766900915708,0.766913940486205,0.776483745406024
"118","30621-ORDEQ:20030924:R:SR","REFERENCE",0.845822752149853,0.934738126900992,1,0.769413488761289,0.887493591953033
"119","30623-ORDEQ:20030819:R:SR","REFERENCE",0.873105429678043,0.827495354214518,0.840006431394334,0.61347388636937,0.788520275414066
"120","30625-ORDEQ:20030818:R:SR","REFERENCE",0.638427248280021,0.634774886085652,0.75809132532164,0.609982338541334,0.660318949557162
"121","30628-ORDEQ:20030902:R:SR","REFERENCE",0.759492297117491,0.828254006824548,0.847425754595919,0.602262989684463,0.759358762055605
"122","30629-ORDEQ:20030918:R:SR","REFERENCE",0.948681370921184,0.859491373649478,0.804493650567626,0.863581786091943,0.869062045307558
"123","30727-ORDEQ:20030820:R:SR","REFERENCE",0.770417262344864,0.716751091020706,0.683488429400159,0.731830824581019,0.725621901836687
"124","31354-ORDEQ:20040707:R:SR","REFERENCE",0.958812319075354,0.842546399841592,0.60056870126883,1,0.850481855046444
"125","31387-ORDEQ:20040708:R:SR","REFERENCE",0.756164031753703,0.912489019012682,0.682444676800656,0.667032897937353,0.754532656376098
"126","31467-ORDEQ:20070918:R:SR","REFERENCE",0.708956741507183,0.708202905168864,0.53209823653038,0.340564155625782,0.572455509708052
"127","31477-ORDEQ:20040715:R:SR","REFERENCE",0.848491359229072,0.744706012314372,0.78339330846206,0.906548952081602,0.820784908021777
"128","31480-ORDEQ:20040804:R:SR","REFERENCE",0.900774021367271,0.507836171742099,0.758583445861602,0.967413313845215,0.783651738204047
"129","31485-ORDEQ:20040802:R:SR","REFERENCE",0.914088733329677,0.657932088858484,0.852623333445472,0.882807811081287,0.82686299167873
"130","31730-ORDEQ:20040901:R:SR","REFERENCE",0.678840642982949,0.719348314397389,0.633549235637283,0.648607450415031,0.670086410858163
"131","31803-ORDEQ:20040929:R:SR","REFERENCE",0.608379734750228,0.526255297189518,0.628136939867365,0.284176150904988,0.511737030678025
"132","32149-ORDEQ:20050803:R:SR","REFERENCE",0.419914185601311,0.854573464005024,0.491351362053002,0.787762484980595,0.638400374159983
"133","32481-ORDEQ:20050713:R:SR","REFERENCE",0.679746006150512,1,0.88399089920961,0.582921182350891,0.786664521927753
"134","32485-ORDEQ:20050713:R:SR","REFERENCE",0.698207276972033,0.535711839815202,0.451815206043034,0.910226220707945,0.648990135884553
"135","32486-ORDEQ:20050713:R:SR","REFERENCE",0.697652416529818,0.733511892327599,0.474013758288485,0.657678370262653,0.640714109352139
"136","32487-ORDEQ:20050713:R:SR","REFERENCE",0.915815067590767,0.988526305079953,0.697216653016251,0.702968967179398,0.826131748216592
"137","32488-ORDEQ:20050728:R:SR","REFERENCE",0.56812067562398,0.811495620667938,0.448009392249102,0.595515117383211,0.605785201481058
"138","32489-ORDEQ:20050728:R:SR","REFERENCE",0.586451481489981,0.747140955572631,0.756066486762805,0.799382207509384,0.7222602828337
"139","32490-ORDEQ:20050729:R:SR","REFERENCE",0.741362866147469,0.733381207189633,0.669359685392119,0.534019137879833,0.669530724152263
"140","32556-ORDEQ:20050803:R:SR","REFERENCE",0.723503599230114,1,0.465569044328045,0.408329862616606,0.649350626543691
"141","32576-ORDEQ:20050907:R:SR","REFERENCE",0.745889446876763,0.763281120886592,0.693416893118666,0.536647425095811,0.684808721494458
"142","32577-ORDEQ:20050907:R:SR","REFERENCE",0.7853831951959,0.671745820717257,0.612218715491523,0.60262392837259,0.667992914944318
"143","32585-ORDEQ:20050915:R:SR","REFERENCE",0.762940518660382,0.860353464073034,0.711884310302643,0.647674455630406,0.745713187166616
"144","33336-ORDEQ:20060818:R:SR","REFERENCE",0.808957994284725,0.827375018186882,0.681515854517955,0.828766284290536,0.786653787820024
"145","33342-ORDEQ:20060906:R:SR","REFERENCE",0.762006730413327,1,0.776068626736685,0.640264402034255,0.794584939796067
"146","33419-ORDEQ:20060919:R:SR","REFERENCE",0.630427293017037,0.923100489409226,0.655500587828165,0.599745267505903,0.702193409440083
"147","34468-ORDEQ:20070924:R:SR","REFERENCE",0.745232681075126,0.835575366632644,0.62396895670308,0.854850528330049,0.764906883185225
"148","34470-ORDEQ:20070731:R:SR","REFERENCE",0.933197485033112,0.920046098498575,0.871912984660013,0.856584581434354,0.895435287406514
"149","34471-ORDEQ:20070905:R:SR","REFERENCE",0.809861751310492,0.812241798385461,0.809023789188711,0.462901291270093,0.723507157538689
"150","34477-ORDEQ:20070821:R:SR","REFERENCE",0.868198725658226,1,0.953147931499813,0.565143055938939,0.846622428274244
"151","34614-ORDEQ:20070827:R:SR","REFERENCE",0.797160103148432,1,0.577986111101999,0.461191142572852,0.709084339205821
"152","34636-ORDEQ:20070816:R:SR","REFERENCE",0.685144335723245,0.695434393013219,0.5227460591526,0.23821857235864,0.535385840061926
"153","34643-ORDEQ:20070918:R:SR","REFERENCE",0.769253775300863,0.741711498025215,0.552245183877569,0.865873564605309,0.732271005452239
"154","34661-ORDEQ:20070912:R:SR","REFERENCE",0.836843209492262,0.931693905930884,0.653242143368812,0.665131683964161,0.77172773568903
"155","35619-ORDEQ:20000703:R:SR","REFERENCE",0.614330417767934,0.775902835044498,0.383567917826974,0.860872025367349,0.658668299001689
"156","35622-ORDEQ:20000706:R:SR","REFERENCE",0.570040562442309,0.641256461374933,0.642809244442712,0.628096546337709,0.620550703649416
"157","35624-ORDEQ:20000723:R:SR","REFERENCE",0.800791628937546,0.644291501052247,0.736288505153859,0.648610537839905,0.707495543245889
"158","35626-ORDEQ:20000728:R:SR","REFERENCE",0.889231077443869,0.805893084184686,0.717121340193468,0.735539205324733,0.786946176786689
"159","35627-ORDEQ:20000729:R:SR","REFERENCE",0.888387165983645,0.515739441364866,0.710506126321459,0.446745031417876,0.640344441271962
"160","35629-ORDEQ:20000802:R:SR","REFERENCE",0.894739251650844,0.654295654303214,0.694155633846642,0.792042545565004,0.758808271341426
"161","35634-ORDEQ:20000813:R:SR","REFERENCE",0.781505672904544,0.904151913500379,1,0.703039432894338,0.847174254824815
"162","35694-ORDEQ:20150818:R:SR","REFERENCE",0.854129661354407,0.777268914511851,0.667859860476756,0.901591619272497,0.800212513903878
"163","35696-ORDEQ:19980727:R:SR-1","REFERENCE",0.917240038824305,0.635123606413328,0.605746651164807,1,0.78952757410061
"164","35702-ORDEQ:19980729:R:SR-3","REFERENCE",0.777495807697329,0.660947447134216,0.539978506594364,0.613648424015351,0.648017546360315
"165","35704-ORDEQ:19980728:R:SR-1","REFERENCE",0.779054335267763,0.571575770019383,0.682592276954873,0.897386227149373,0.732652152347848
"166","35708-ORDEQ:19980807:R:SR-2","REFERENCE",0.965896041531043,0.613101340496244,0.647640194754571,0.864433703640964,0.772767820105705
"167","35709-ORDEQ:19980807:R:SR-3","REFERENCE",0.702596133345531,0.572543160584845,0.662768826650879,0.613201609335229,0.637777432479121
"168","35711-ORDEQ:19980808:R:SR-2","REFERENCE",0.882098002241428,0.77416766956488,0.652205338150764,0.74739503108183,0.763966510259726
"169","35713-ORDEQ:19980809:R:SR","REFERENCE",0.849723124719354,0.674114505298787,0.725834357876889,0.912761339643421,0.790608331884613
"170","35714-ORDEQ:19980811:R:SR-1","REFERENCE",1,0.726366340807627,0.809136959305812,0.910941074407237,0.861611093630169
"171","35715-ORDEQ:19980728:R:SR-1","REFERENCE",0.844294886008526,0.628695250505497,0.424791789289654,0.865051853222138,0.690708444756454
"172","35716-ORDEQ:19980811:R:SR-1","REFERENCE",0.796111551170892,0.774707567400349,0.616662358622818,0.922154702815644,0.777409045002426
"173","35717-ORDEQ:19980811:R:SR-1","REFERENCE",0.765552156794185,0.442772309193955,0.697324843868111,0.981071824538016,0.721680283598567
"174","35721-ORDEQ:19980729:R:SR-3","REFERENCE",0.854639224647436,0.700271705613295,0.697793336869624,0.805176125771882,0.764470098225559
"175","35722-ORDEQ:19980729:R:SR-3","REFERENCE",0.817428174312869,0.647965126986829,0.408517467005275,0.656951210821084,0.632715494781514
"176","35733-ORDEQ:19980809:R:SR-1","REFERENCE",0.660061492020016,0.501715044644268,0.587461367105648,0.768341164788349,0.62939476713957
"177","35734-ORDEQ:19980808:R:SR-2","REFERENCE",0.824295549494938,0.5993915966886,0.467734670877937,0.632610220188376,0.631008009312463
"178","35748-ORDEQ:19990704:R:SR","REFERENCE",1,0.594219462818148,0.772359573176321,0.892966787310685,0.814886455826288
"179","35749-ORDEQ:19990703:R:SR","REFERENCE",0.956095894901063,0.518715793337393,0.174227882118649,0.998301877618863,0.661835361993992
"180","35758-ORDEQ:19990808:R:SR","REFERENCE",0.852085583552872,0.565357175120315,0.682322407342219,0.598427566808262,0.674548183205917
"181","35763-ORDEQ:19990805:R:SR","REFERENCE",0.84755783549878,0.879925398204572,0.524358478210541,0.805845546893686,0.764421814701895
"182","35767-ORDEQ:19990817:R:SR","REFERENCE",0.778436440582133,0.647119056349904,0.549196228072251,0.762820324873356,0.684393012469411
"183","35769-ORDEQ:19990816:R:SR","REFERENCE",0.897247385389835,0.614281429787483,0.406075068457324,0.447460404529984,0.591266072041157
"184","35770-ORDEQ:19990819:R:SR","REFERENCE",0.70656393157417,0.884320850111857,0.498914728626228,0.33421357713479,0.606003271861761
"185","35772-ORDEQ:19990817:R:SR","REFERENCE",0.626776793633929,0.629998081140191,0.529051521704023,0.463884335826438,0.562427683076145
"186","35773-ORDEQ:19990818:R:SR","REFERENCE",0.864198975087543,0.63811182709207,0.651913131175831,0.855211523821897,0.752358864294335
"187","35791-ORDEQ:19990809:R:SR","REFERENCE",0.84099167836175,0.744811874116485,0.600510987013568,0.770052641011329,0.739091795125783
"188","35792-ORDEQ:19990811:R:SR","REFERENCE",0.849030511321864,0.584679934718657,0.480142311277374,0.719269068209815,0.658280456381928
"189","35794-ORDEQ:20150819:R:SR","REFERENCE",0.743087583105423,0.908080194428304,0.653201090410216,0.659437199824388,0.740951516942083
"190","35830-ORDEQ:20000720:R:SR","REFERENCE",0.816170844824289,0.594231515626452,0.837699538202673,0.25050449851361,0.624651599291756
"191","35847-ORDEQ:20020613:R:SR","REFERENCE",0.760861840473994,0.711241299253061,0.640328305802905,0.632126745756441,0.6861395478216
"192","35853-ORDEQ:20010613:R:SR","REFERENCE",0.740736005468343,0.674622599755039,0.322265186190324,0.78287229456374,0.630124021494362
"193","35883-ORDEQ:20020816:R:SR","REFERENCE",0.528656663997011,0.522886553029741,0.277281305832519,1,0.582206130714818
"194","35939-ORDEQ:20090812:T:SR","REFERENCE",1,0.763414233837252,0.84590657220762,1,0.902330201511218
"195","35940-ORDEQ:20090813:T:SR","REFERENCE",0.742685497856617,0.750598932790902,0.90388080587365,0.677710274830392,0.76871887783789
"196","35952-ORDEQ:20090818:R:SR","REFERENCE",0.640527943325839,0.764804642604937,0.631547784843234,0.593591326642893,0.657617924354226
"197","35953-ORDEQ:20090818:R:SR","REFERENCE",0.864352895062058,0.838873077347511,0.84075404556473,0.667442856984186,0.802855718739621
"198","37278-ORDEQ:20140915:R:SR","REFERENCE",0.861112618395669,0.885869421136708,0.876242595913547,0.892050509502512,0.878818786237109
"199","38114-ORDEQ:20150630:R:SR","REFERENCE",0.749838753633175,0.949122357390492,0.802425047369605,0.927585270763435,0.857242857289177
"200","38116-ORDEQ:20150706:R:SR","REFERENCE",0.831370946524531,0.701636428012826,0.910999885382016,0.694659962388638,0.784666805577003
"201","38117-ORDEQ:20150820:R:SR","REFERENCE",0.940813460102192,0.885613482925063,0.87626417843233,0.83826714269376,0.885239566038336
"202","38119-ORDEQ:20150819:R:SR","REFERENCE",0.550373259455412,0.775158540183413,0.804889120844132,0.826683940603738,0.739276215271674
"203","38120-ORDEQ:20150707:R:SR","REFERENCE",0.637724284669774,0.746415104464827,0.679343578045781,0.614167342296709,0.669412577369273
"204","38128-ORDEQ:20150929:R:SR","REFERENCE",0.624645676031468,0.804848890423982,0.711396385162961,0.37212223005849,0.628253295419225
"205","38130-ORDEQ:20151005:R:SR","REFERENCE",0.631233716722669,0.737363823769465,0.547808193012675,0.628332512657362,0.636184561540543
"206","38131-ORDEQ:20151006:R:SR","REFERENCE",0.672522027681782,0.742161627335521,0.921168991733601,0.891345000694749,0.806799411861413
"207","38503-ORDEQ:20150729:R:SR","REFERENCE",0.632254765439919,0.855284630466724,0.643347522471801,0.682607462857943,0.703373595309097
"208","38552-ORDEQ:20160802:R:SR","REFERENCE",0.617496857396272,1,0.648047629108642,0.332340589082585,0.649471268896875
"209","38558-ORDEQ:20160720:R:SR","REFERENCE",0.418044607217654,0.975223936558351,0.615995921697187,0.421232472457334,0.607624234482631
"210","38583-ORDEQ:20160818:R:SR","REFERENCE",0.522572661193411,1,0.652646623407733,0.622690422543861,0.699477426786251
