"","metric","RC1","RC2","RC4","RC3","RC5","V1"
"1","ni_total",0.0556339595968537,-0.0924883715003243,-0.132516686092393,0.106621297041585,0.14133046316903,0.157901453592473
"2","li_total",0.0543070358626977,-0.0939988859418451,-0.129893191726879,0.112279445669459,0.137421909766347,0.0971764238092415
"3","ni_Chiro",0.138533254921841,-0.0155709431639515,-0.838939649212618,-0.0787799853985863,-0.0481970426065904,1.07463057209199
"4","ni_Trich",-0.158869997877779,0.147130999575423,0.187744049884734,0.456073093095766,0.190317814382002,-2.15511187612526
"5","nt_Amph",0.114247364870226,-0.0895048091914443,0.105394707963171,-0.11478658531977,0.0892950236962045,6.103457039955
"6","nt_Ephem",-0.192772875348659,0.552550600962955,0.177286417916558,-0.100802222931155,-0.357753106709986,-9.52216104637263
"7","nt_Mega",0.0485452126708594,0.0355889936524289,0.0174169905263148,0.183366337142847,0.0261377866758542,1.54961732651627
"8","nt_Nemour",0.111737428042727,0.38734572649591,-0.0267391197728636,-0.286807669141898,0.245272330659119,-6.34260052735735
"9","nt_Oligo",0.268141269667565,0.295022855626607,-0.0632124429311958,-0.214765939631881,-0.150944155751002,3.09272599038028
"10","nt_Tipulid",0.114583606129698,0.0376171166491266,0.0332314723452896,-0.108494082488374,0.136436619824767,2.53342843141381
"11","pi_Amph",-0.0496995009365831,-0.121394481059655,-0.122558360200146,-0.136459606679705,0.110054735508343,2.9108333265397
"12","pi_AmphIsop",-0.0496995009365829,-0.121394481059655,-0.122558360200146,-0.136459606679705,0.110054735508343,3.04006777336239
"13","pi_Baet",-0.181541194725678,-0.091788670224539,0.211483761394306,-0.0956907157542762,-0.712561384063294,-1.62179699715336
"14","pi_Bival",0.282132248369762,-0.0191229382562028,-0.0983886331338599,-0.00840894389133006,0.0813081133395884,4.78013133189164
"15","pi_COET",-0.388446251154482,0.0430302867704301,0.668893512936713,0.185273864077293,-0.37887134446058,-4.60332801951081
"16","pi_CraCaeGam",-0.0130468278252084,0.00390507560015952,0.0943549184060629,0.0484525929625176,0.113320403574805,3.64157901903895
"17","pi_Cru",0.0665652488468419,-0.102130628171648,-0.16194313539046,-0.163122360461998,0.109069601707568,2.92580516233931
"18","pi_Deca",0.0303718387691136,0.000308401243721263,-0.040716895384629,0.0882527719877631,0.150177578505025,-0.541683669126838
"19","pi_Dipt",0.102206826201704,-0.0810456410711424,-0.882822494073693,0.00912208611814096,-0.098272732296486,2.2235763623753
"20","pi_DiptNonIns",0.310735620167434,-0.105488308553722,-0.867518225368871,-0.0701560087542641,0.0495890889508363,7.59056397411919
"21","pi_ECT",-0.389750376653751,0.0428301861087274,0.666322409930975,0.177303056643377,-0.380704388555139,-4.78533797937545
"22","pi_Ephem",-0.264453675398879,-0.0663776443233976,0.51267275142685,-0.246565434849908,-0.591394763344602,-6.69040907081258
"23","pi_ET",-0.369767644726444,0.0249851921929848,0.643780285136328,0.0267268599502135,-0.491538314949901,-7.17325591711803
"24","pi_Mega",0.111434250623969,0.0335516381036871,-0.00883584582817722,0.088249455447186,0.0394609639360756,1.37222743752537
"25","pi_Nemata",0.38326129476345,0.0138883696423136,-0.163802297902224,-0.0789339343098079,0.0938643043824469,0.274883547958959
"26","pi_OET",-0.368857902912105,0.0251879518331751,0.646947578381073,0.0343923769448476,-0.490380077398564,-6.97346894693232
"27","pi_Oligo",0.0353638341157043,0.26955827299461,-0.14043078221588,-0.166760970779203,-0.0112776816064818,3.69079993492645
"28","pi_Sphaer",0.283440372797372,-0.0179585112690632,-0.0852501910307395,-0.00484037647822684,0.0808593257526413,4.62393660439664
"29","pi_SphaerCorb",0.283440372797372,-0.0179585112690631,-0.0852501910307394,-0.00484037647822682,0.0808593257526414,4.78423354898253
"30","pi_Trich",-0.160590944930161,0.150691147311622,0.192869049343947,0.452606295026666,0.184650806209479,-2.16716174837101
"31","pi_TrichNoHydro",-0.0644720933084149,0.148874445920573,0.207165658844312,0.323551203323449,0.17942692403407,-7.62716712879546
