,sample,mean_MMI,sd_MMI,var_MMI,mean_MMI_rescale,sd_MMI_rescale
73,23901-ORDEQ:20000907:R:SR,0.808303991,0.033559733,0.001126256,1.107265741,0.045972238
74,23903-ORDEQ:20000822:R:SR,0.79233995,0,0,1.085397191,0
75,23925-ORDEQ:20000828:R:SR,0.807505587,0.026267971,0.000690006,1.106172037,0.035983522
76,23926-ORDEQ:20000823:R:SR,0.685197206,0.028864028,0.000833132,0.93862631,0.039539765
77,24043-ORDEQ:20000816:R:SR,0.751769796,0.035912555,0.001289712,1.029821638,0.04919528
78,24044-ORDEQ:20000913:R:SR,0.649026718,0.023130092,0.000535001,0.889077696,0.031685058
79,24046-ORDEQ:20000803:R:SR,0.790501838,0.026695294,0.000712639,1.08287923,0.036568895
80,24056-ORDEQ:20000913:R:SR,0.771378781,0.033395158,0.001115237,1.056683262,0.045746791
81,24062-ORDEQ:20000912:R:SR,0.654916202,0.03010183,0.00090612,0.897145482,0.041235384
82,24068-ORDEQ:20000808:R:SR,0.701954331,0.037897589,0.001436227,0.961581275,0.051914506
83,24412-ORDEQ:20000821:R:SR,0.75417833,0.031327616,0.00098142,1.033120999,0.042914543
84,24419-ORDEQ:20000815:R:SR,0.594900127,0.029048952,0.000843842,0.814931681,0.039793085
85,24426-ORDEQ:20010719:R:SR,0.60478167,0.038801699,0.001505572,0.828468041,0.053153012
86,24453-ORDEQ:20000829:R:SR,0.685451553,0.040232985,0.001618693,0.93897473,0.055113678
87,24455-ORDEQ:20000828:R:SR,0.737042328,0.027898441,0.000778323,1.009647025,0.038217043
88,25284-ORDEQ:20010807:R:SR,0.812563062,0.025482101,0.000649337,1.113100085,0.034906987
89,25374-ORDEQ:20010801:R:SR,0.722776799,0.029786575,0.00088724,0.990105204,0.040803528
90,25386-ORDEQ:20010906:R:SR,0.625191695,0.041789789,0.001746386,0.856426979,0.057246287
91,25417-ORDEQ:20010801:R:SR,0.587657675,0.034775431,0.001209331,0.805010514,0.047637577
92,25425-ORDEQ:20010730:R:SR,0.748197322,0.037325241,0.001393174,1.024927839,0.051130467
93,26806-ORDEQ:20020904:R:SR,0.742966443,0.037554124,0.001410312,1.01776225,0.051444006
94,26854-ORDEQ:20020813:R:SR,0.667932603,0.025188997,0.000634486,0.914976169,0.034505475
95,26886-ORDEQ:20020716:R:SR,0.718698894,0.028323605,0.000802227,0.984519033,0.038799459
96,26895-ORDEQ:20020724:R:SR,0.670792845,0.029090219,0.000846241,0.918894309,0.039849615
97,26902-ORDEQ:20020716:R:SR,NA,NA,NA,NA,NA
98,26906-ORDEQ:20020723:R:SR,0.658091266,0.023455331,0.000550153,0.901494885,0.032130591
99,26929-ORDEQ:20020711:R:SR,0.682213413,0.023987941,0.000575421,0.934538922,0.032860193
100,26936-ORDEQ:20030730:R:SR,0.706163124,0.040203705,0.001616338,0.967346745,0.055073568
101,26950-ORDEQ:20020731:R:SR,0.71629724,0.023884935,0.00057049,0.981229096,0.032719089
102,26952-ORDEQ:20020905:R:SR,0.688835746,0.016317593,0.000266264,0.943610611,0.022352867
103,26958-ORDEQ:20020910:R:SR,0.6510692,0.026628089,0.000709055,0.891875617,0.036476835
104,26966-ORDEQ:20020913:R:SR,NA,NA,NA,NA,NA
105,29027-ORDEQ:20020808:R:SR,0.773962788,0.022610824,0.000511249,1.060222998,0.030973731
106,29879-ORDEQ:20030826:R:SR,0.759123959,0.03805871,0.001448465,1.039895834,0.052135219
107,29900-ORDEQ:20030806:R:SR,0.601678399,0.036897154,0.0013614,0.824216985,0.050544046
108,30339-ORDEQ:20030924:R:SR,0.766931089,0.030146618,0.000908819,1.050590532,0.041296737
109,30354-ORDEQ:20030827:R:SR,0.736960491,0.036111449,0.001304037,1.009534919,0.049467738
110,30379-ORDEQ:20030723:R:SR,0.829819247,0.024703381,0.000610257,1.136738695,0.033840248
111,30383-ORDEQ:20030724:R:SR,0.659453047,0.032823723,0.001077397,0.903360338,0.044964004
112,30387-ORDEQ:20030722:R:SR,0.77490005,0.033510403,0.001122947,1.061506918,0.045904662
113,30389-ORDEQ:20030728:R:SR,0.654828816,0.03443401,0.001185701,0.897025776,0.047169877
114,30392-ORDEQ:20030730:R:SR,0.818503104,0.0250559,0.000627798,1.121237129,0.03432315
115,30396-ORDEQ:20030827:R:SR,0.757784083,0.027338806,0.00074741,1.038060387,0.037450419
116,30421-ORDEQ:20030730:R:SR,0.726573503,0.028275049,0.000799478,0.995306168,0.038732943
117,30621-ORDEQ:20030924:R:SR,0.759147507,0.021779143,0.000474331,1.039928092,0.029834442
118,30623-ORDEQ:20030819:R:SR,0.747149489,0.020955994,0.000439154,1.023492451,0.028706841
119,30625-ORDEQ:20030818:R:SR,0.689188029,0.0223794,0.000500838,0.944093191,0.030656713
120,30628-ORDEQ:20030902:R:SR,0.71850486,0.024747622,0.000612445,0.984253232,0.033900852
