"","sample","mean_OE","sd_OE","var_OE"
"1","103CDCHHR:20100914:T:SR",1.13565486417234,0.0418110043841085,0.00174816008760794
"2","103KLCMSR:20100914:T:SR",0.978592137811875,0.0479005002917579,0.0022944579282007
"3","103PS0281:20150722:T:SR",0.940602857811277,0.0849894080265432,0.00722319947670225
"4","103STCNSR:20110809:T:SR",1.09973691101108,0,0
"5","103WER026:20030729:R:SR",1.00685386659967,0.0395979632068073,0.00156799869012767
"6","103WER029:20030730:R:SR",1.05498613573102,0.0319386933151835,0.00102008013068135
"7","103WER030:20110810:T:SR",0.875521497418872,0.0246489365978325,0.000607570075403969
"8","105BVCAGC:20100921:T:SR",1.24740675304645,0.0536401210654643,0.00287726258791767
"9","105FC1297:20140722:T:SR",1.25454890389254,0.022581403807472,0.00050991979791611
"10","105FS0416:20130924:T:SR",1.13937029863988,0.0583674533809082,0.00340675961417249
"11","105FS0425:20110810:T:SR",1.28273365776439,0.0663566539298812,0.00440320552077002
"12","105FS0428:20110803:T:SR",1.04854508291683,0.0370000422098241,0.00136900312352876
"13","105PS0083:20090908:T:SR",1.06371351173271,0.0439597329022363,0.00193245811683595
"14","105PS0275:20150819:T:SR",0.739690383010732,0.0601639319823775,0.00361969871158014
"15","105TMCACC:20100810:T:SR",1.11913199151303,0.0441762032669975,0.00195153693508708
"16","105WLCABC:20110803:T:SR",1.13834030764907,0.0582966381539678,0.00339849802005465
"17","107GWCAPC:20100915:T:SR",1.15222049277809,0.0655198114686228,0.00429284569488388
"18","107WER092:20030812:R:SR",1.01298093755417,0.055596073863935,0.00309092342908411
"19","11850-ORDEQ:19990729:R:SR",1.02398377949403,0,0
"20","119633",1.06894572229152,0.0588559121633538,0.00346401839658042
"21","119663",1.01817545987874,0.0588580061323774,0.00346426488587897
"22","12092-ORDEQ:20070814:R:SR",1.01246902196313,0,0
"23","12181-ORDEQ:20000927:R:SR",1.09957075219283,0.0514017062294162,0.00264213540329521
"24","123287",0.929888516544686,0.0605633259677592,0.00366791645227705
"25","123315",1.1343882280552,0.0314556152660777,0.000989455731767502
"26","123444",1.162598210441,0,0
"27","12521-ORDEQ:20070828:R:SR",0.986139128105122,0,0
"28","125362",0.988080658955634,0.0738224074540409,0.00544974784231043
"29","126606",0.736162818721591,0.0335434784244388,0.00112516494481079
"30","127205",1.09990772848101,0.0240102450789931,0.000576491868753313
"31","12871-ORDEQ:20000811:R:SR",1.26671218080567,0.0438083789495502,0.0019191740661874
"32","12889-ORDEQ:20160627:R:SR",1.15417744287583,0.0431076482189292,0.00185826933496695
"33","130065",1.13896564083594,0,0
"34","130067",0.907394978145738,0.0802903106627557,0.00644653398632183
"35","130119",1.02358885798459,0.0176742414476056,0.000312378810748261
"36","130124",1.05282694105162,0.039490807075904,0.00155952384350627
"37","131083",0.942237349097668,0.0563906277191724,0.0031799028945623
"38","13200-ORDEQ:19980713:R:SR",0.745071211269101,0,0
"39","13215-ORDEQ:19980715:R:SR",1.14422965063655,0,0
"40","13224-ORDEQ:19980715:R:SR",0.886681221447158,0,0
"41","13226-ORDEQ:19980708:R:SR",1.14012322272948,0,0
"42","13231-ORDEQ:19990805:R:SR",1.19740385549692,0,0
"43","13244-ORDEQ:19990909:R:SR",1.13941570457231,0.0510378373748168,0.00260486084389824
"44","134605",0.89574129485053,0.0761522950207443,0.00579917203692648
"45","134734",1.07250499289008,0.0185188731298081,0.00034294866199793
"46","140016",1.10505071359075,0.0573825359748908,0.00329275543490964
"47","143095",0.919148117497459,0.0425981356516782,0.00181460116099878
"48","148021",0.997925785666651,0,0
"49","149814",0.892827327189711,0.0532999938255495,0.00284088934180362
"50","149822",0.960479164073784,0.0667000881602894,0.00444890176059038
"51","150509",1.06703369751696,0,0
"52","151144",0.898909444566141,0.0377588636652942,0.00142573178529427
"53","151682",1.08161660674488,0.0593228592441725,0.0035192016289039
"54","152645",1.06964071976088,0.0613015229307542,0.00375787671362979
"55","153620",0.982844362792074,0.0571394996755119,0.00326492242316783
"56","153706",0.988400035294522,0.0601273718891899,0.00361530085030095
"57","155884",0.851261949042982,0.0712177856457054,0.00507197299227764
"58","17007-ORDEQ:19980824:R:SR",1.23788271447675,0.0353517281567264,0.00124974468366708
"59","17010-ORDEQ:19980825:R:SR",1.16258700405401,0.0257436496095312,0.000662735495218314
"60","210808",1.08106132711566,0.064161806937107,0.00411673746943459
"61","21821-ORDEQ:19980813:R:SR-3",0.971763647453858,0.0416205806320237,0.00173227273214679
"62","21842-ORDEQ:20070806:R:SR",0.938688640842677,0.032303552345459,0.00104351949413581
"63","21855-ORDEQ:19990727:R:SR",0.995868421976157,0,0
"64","21857-ORDEQ:19980808:R:SR-1",1.08286826218402,0.021365372983863,0.000456479162739584
"65","21864-ORDEQ:19990922:R:SR",1.16129785108308,0.0283682489412917,0.000804757547995097
"66","21868-ORDEQ:19990831:R:SR",1.04260700181545,0,0
"67","21876-ORDEQ:19990928:R:SR",0.882539273145138,0,0
"68","21878-ORDEQ:19980729:R:SR-3",1.09755883316576,0,0
"69","21881-ORDEQ:19990713:R:SR",1.03373021390844,0,0
"70","22946-ORDEQ:20000822:R:SR",1.11001996558168,0.0582510281108952,0.0033931822759763
"71","23844-ORDEQ:20000711:R:SR",0.996251895761209,0.0517397054278907,0.00267699711776491
"72","23856-ORDEQ:20000712:R:SR",0.956308871461316,0.0524279801540768,0.00274869310303627
"73","23901-ORDEQ:20000907:R:SR",1.1532703428443,0.0523846625992166,0.00274415287563376
"74","23903-ORDEQ:20000822:R:SR",1.04622198790768,0,0
"75","23925-ORDEQ:20000828:R:SR",1.1368418936956,0.0391060320022962,0.00152928173896462
"76","23926-ORDEQ:20000823:R:SR",0.886971441202182,0.0652386003667644,0.0042560749778144
"77","24043-ORDEQ:20000816:R:SR",1.14225057073983,0.0543436153938765,0.00295322853407757
"78","24044-ORDEQ:20000913:R:SR",0.881754273924109,0.0228065747118831,0.000520139850088707
"79","24046-ORDEQ:20000803:R:SR",1.02010559352959,0.0614605727081359,0.00377740199761206
"80","24056-ORDEQ:20000913:R:SR",1.02643488333561,0.0601716462735193,0.00362062701526552
"81","24062-ORDEQ:20000912:R:SR",1.12009299824709,0.0637895825141847,0.00406911083733398
