"","sample","mean_OE","sd_OE","var_OE"
"1","103CDCHHR:20100914:T:SR",0.974378433757333,0.0794438999974326,0.00631133324680207
"2","103KLCMSR:20100914:T:SR",0.875262533198198,0.0571549286053176,0.00326668586387896
"3","103PS0281:20150722:T:SR",0.839495710228958,0.0868865984213125,0.00754928098522643
"4","103STCNSR:20110809:T:SR",1.0185658532936,0.0464529503990807,0.00215787660077945
"5","103WER026:20030729:R:SR",0.88603140260771,0.0657320888279471,0.00432070750168513
"6","103WER029:20030730:R:SR",0.97233745228665,0.0722827826618723,0.00522480066934347
"7","103WER030:20110810:T:SR",0.783775232719289,0.0523574093744716,0.00274129831640601
"8","105BVCAGC:20100921:T:SR",1.10947235246919,0.0766035334082023,0.00586810133062156
"9","105FC1297:20140722:T:SR",1.12799353200864,0.0488901733759633,0.00239024905273175
"10","105FS0416:20130924:T:SR",0.986454811190844,0.107404220505686,0.0115356665824341
"11","105FS0425:20110810:T:SR",1.0651775087603,0.0974877702644165,0.00950386535112765
"12","105FS0428:20110803:T:SR",0.916466139310337,0.063063399164347,0.00397699231416176
"13","105PS0083:20090908:T:SR",0.935078389383636,0.0751184245119729,0.00564277770116098
"14","105PS0275:20150819:T:SR",0.606048843223078,0.0852637115201447,0.00726990050219046
"15","105TMCACC:20100810:T:SR",0.997846751053492,0.0874424707821591,0.00764618569648875
"16","105WLCABC:20110803:T:SR",0.99378915747141,0.106135217757801,0.0112646844484958
"17","107GWCAPC:20100915:T:SR",0.992537761441995,0.0584440051913303,0.00341570174280424
"18","107WER092:20030812:R:SR",0.841427714258705,0.106348341877331,0.0113099698200578
"19","11850-ORDEQ:19990729:R:SR",0.909538533550577,0.0432593902031204,0.00187137484074583
"20","119633",0.991981630286534,0.0644734214688231,0.00415682207589651
"21","119663",0.959994005028525,0.0764183276945037,0.00583976080762455
"22","12092-ORDEQ:20070814:R:SR",0.964509963028039,0.048593690831016,0.00236134678858037
"23","12181-ORDEQ:20000927:R:SR",0.96164550104669,0.106856685545733,0.0114183512458196
"24","123287",0.8299831387341,0.0811776816557743,0.00658981599900624
"25","123315",1.08073473078232,0.0653224910979928,0.00426702784324735
"26","123444",1.13353325517997,0.0455508251712485,0.00207487767378164
"27","12521-ORDEQ:20070828:R:SR",0.922450976081667,0.0451587065116639,0.0020393087738066
"28","125362",0.916545407628529,0.0640553823252061,0.00410309200482832
"29","126606",0.622907000456731,0.0769796642584056,0.00592586870933684
"30","127205",1.00629856009965,0.0700012920195275,0.00490018088440316
"31","12871-ORDEQ:20000811:R:SR",1.15259396631867,0.0860379482612675,0.00740252854100854
"32","12889-ORDEQ:20160627:R:SR",1.00648649046992,0.0911864456578746,0.00831496787171652
"33","130065",1.03727228004702,0.0909573070337777,0.00827323170283691
"34","130067",0.862025229238451,0.0731724307127848,0.0053542046164173
"35","130119",0.912930603067342,0.0701131658233692,0.00491585602177527
"36","130124",0.938901637728871,0.0863508736305799,0.00745647337676439
"37","131083",0.794756720543251,0.0600324074743851,0.0036038899471706
"38","13200-ORDEQ:19980713:R:SR",0.461944150986843,0.0891467335300466,0.00794714009907713
"39","13215-ORDEQ:19980715:R:SR",0.912659364198204,0.111630391582659,0.0124613443248979
"40","13224-ORDEQ:19980715:R:SR",0.837131388483934,0.0357975501908793,0.00128146459966852
"41","13226-ORDEQ:19980708:R:SR",1.05911446743028,0.0525113141353863,0.00275743811222522
"42","13231-ORDEQ:19990805:R:SR",1.07466996030849,0.0686071108687132,0.00470693566175191
"43","13244-ORDEQ:19990909:R:SR",0.991822996726157,0.0780399771232404,0.00609023802939588
"44","134605",0.774695173924783,0.11755553401417,0.0138193035773567
"45","134734",1.00624985819417,0.0555566193894244,0.00308653795798137
"46","140016",1.01649264246676,0.0688771711267895,0.00474406470242905
"47","143095",0.855758592152806,0.0657350789640293,0.00432110060640717
"48","148021",0.944191320284601,0.0504295413154481,0.00254313863728649
"49","149814",0.767518228636769,0.0901957539147815,0.00813527402425582
"50","149822",0.878152378581745,0.070128871896854,0.00491805867352536
"51","150509",1.02338231898218,0.0665763784108833,0.00443241416230913
"52","151144",0.771596089756344,0.0969558113451104,0.00940042935358863
"53","151682",0.950951513312608,0.0572072776674659,0.00327267261812254
"54","152645",0.937672059530638,0.0617143324632256,0.00380865883138154
"55","153620",0.865424903520455,0.107362790569484,0.0115267687988669
"56","153706",0.858672530662116,0.0719856320300426,0.0051819312187647
"57","155884",0.804403493132359,0.0844182626278163,0.00712644306509896
"58","17007-ORDEQ:19980824:R:SR",1.11128107322345,0.0929734768380962,0.00864406739536402
"59","17010-ORDEQ:19980825:R:SR",1.03712797483954,0.0686497322920832,0.00471278574377469
"60","210808",0.966835979344949,0.0964472647499331,0.00930207487774369
"61","21821-ORDEQ:19980813:R:SR-3",0.836168719902157,0.103403598125596,0.0106923041053198
"62","21842-ORDEQ:20070806:R:SR",0.819815406849499,0.0579697033504489,0.00336048650653905
"63","21855-ORDEQ:19990727:R:SR",0.801674079690806,0.0940610911236984,0.00884748886338069
"64","21857-ORDEQ:19980808:R:SR-1",0.950112778118194,0.040940620729105,0.00167613442568442
"65","21864-ORDEQ:19990922:R:SR",1.00922313248887,0.0908227111847567,0.00824876486694972
"66","21868-ORDEQ:19990831:R:SR",0.986466624794616,0.0587625414150667,0.00345303627355743
"67","21876-ORDEQ:19990928:R:SR",0.798296887981284,0.0662368146995753,0.00438731562154587
"68","21878-ORDEQ:19980729:R:SR-3",0.935813320909755,0.0740243674377673,0.00547960697456158
"69","21881-ORDEQ:19990713:R:SR",0.96076102233843,0.0543880242045803,0.00295805717687801
"70","22946-ORDEQ:20000822:R:SR",0.903108349190361,0.0714736721892872,0.00510848581622169
"71","23844-ORDEQ:20000711:R:SR",0.907564783378906,0.0614891328202598,0.00378091345498755
"72","23856-ORDEQ:20000712:R:SR",0.854107923366213,0.0823868259564064,0.0067875890911712
"73","23901-ORDEQ:20000907:R:SR",1.02879843359458,0.0656750377558043,0.00431321058422632
"74","23903-ORDEQ:20000822:R:SR",0.91544423941922,0.0689404346093799,0.00475278352413019
"75","23925-ORDEQ:20000828:R:SR",0.98206060300465,0.0657112773338129,0.00431797196884127
"76","23926-ORDEQ:20000823:R:SR",0.720664295976773,0.0634808484376321,0.00402981811836162
"77","24043-ORDEQ:20000816:R:SR",0.996431348943256,0.0773574405505094,0.00598417360852559
"78","24044-ORDEQ:20000913:R:SR",0.781723326882298,0.0882476595846116,0.00778764942216149
"79","24046-ORDEQ:20000803:R:SR",0.920396024237224,0.0825330753109567,0.00681170852028405
"80","24056-ORDEQ:20000913:R:SR",0.92339508809729,0.0739748057214079,0.00547227188152004
"81","24062-ORDEQ:20000912:R:SR",0.971608047470819,0.101483538376126,0.0102989085613386
"82","24068-ORDEQ:20000808:R:SR",0.956337295364138,0.0994827238652646,0.00989681234765249
"83","24412-ORDEQ:20000821:R:SR",0.92926917050747,0.0709399366836361,0.0050324746166783
"84","24419-ORDEQ:20000815:R:SR",0.737793660149129,0.0809471081044825,0.00655243431047877
"85","24426-ORDEQ:20010719:R:SR",0.794419242775248,0.11158100410734,0.0124503204776022
"86","24453-ORDEQ:20000829:R:SR",0.791253511716951,0.0837679357471152,0.00701706705933282
"87","24455-ORDEQ:20000828:R:SR",1.08085401091072,0.0714820936993754,0.00510968971964629
"88","25284-ORDEQ:20010807:R:SR",0.853755908230126,0.0830263325908288,0.00689337190348292
"89","25374-ORDEQ:20010801:R:SR",0.902241732468554,0.0653385751732759,0.00426912940567382
"90","25386-ORDEQ:20010906:R:SR",0.789227533859647,0.0424749775611792,0.00180412371882268
"91","25417-ORDEQ:20010801:R:SR",1.07697588503315,0.0526095239381326,0.00276776200899695
"92","25425-ORDEQ:20010730:R:SR",1.01988533185468,0.129463666175212,0.0167608408595267
"93","26806-ORDEQ:20020904:R:SR",0.819683415079092,0.0912624876652759,0.00832884165485464
"94","26854-ORDEQ:20020813:R:SR",0.801389560696907,0.0755687421889932,0.00571063479602652
"95","26886-ORDEQ:20020716:R:SR",0.852604048691392,0.0506640756585914,0.00256684856233947
"96","26895-ORDEQ:20020724:R:SR",1.02290496194179,0.0906611207471141,0.00821943881512281
"97","26902-ORDEQ:20020716:R:SR",NA,NA,NA
"98","26906-ORDEQ:20020723:R:SR",0.823440496896481,0.0990190651800721,0.00980477526913536
