,sample,mean_MMI,sd_MMI,var_MMI,mean_MMI_rescale,sd_MMI_rescale
1,103CDCHHR:20100914:T:SR,0.788792652,0.029141377,0.00084922,1.08053788,0.039919695
2,103KLCMSR:20100914:T:SR,0.838376773,0.038537054,0.001485105,1.148461332,0.052790485
3,103PS0281:20150722:T:SR,0.611784138,0.034776223,0.001209386,0.838060463,0.047638661
4,103STCNSR:20110809:T:SR,0.639089005,0.026209512,0.000686939,0.87546439,0.035903441
5,103WER026:20030729:R:SR,0.713812465,0.039202133,0.001536807,0.977825294,0.053701553
6,103WER029:20030730:R:SR,0.763676865,0.029006129,0.000841356,1.046132692,0.039734423
7,103WER030:20110810:T:SR,0.708967163,0.033837309,0.001144963,0.971187895,0.046352477
8,105BVCAGC:20100921:T:SR,0.746284448,0.031751809,0.001008177,1.022307463,0.043495628
9,105FC1297:20140722:T:SR,0.701147682,0.03283921,0.001078414,0.960476276,0.044985219
10,105FS0416:20130924:T:SR,0.688131608,0.033570526,0.00112698,0.942646038,0.045987022
11,105FS0425:20110810:T:SR,0.660182425,0.029719946,0.000883275,0.904359486,0.040712255
12,105FS0428:20110803:T:SR,0.671847786,0.028520145,0.000813399,0.920339433,0.039068691
13,105PS0083:20090908:T:SR,0.709013031,0.029395637,0.000864103,0.971250728,0.040267996
14,105PS0275:20150819:T:SR,0.569262098,0.033635111,0.001131321,0.779811093,0.046075494
15,105TMCACC:20100810:T:SR,0.738952697,0.038279893,0.00146535,1.012263968,0.05243821
16,105WLCABC:20110803:T:SR,0.724151708,0.035509215,0.001260904,0.991988642,0.048642761
17,107GWCAPC:20100915:T:SR,0.750208066,0.027378716,0.000749594,1.027682283,0.03750509
18,107WER092:20030812:R:SR,0.74053287,0.030156066,0.000909388,1.014428589,0.04130968
19,11850-ORDEQ:19990729:R:SR,0.653713702,0.038974991,0.00151905,0.895498222,0.053390399
20,119633,0.665159316,0.03079967,0.00094862,0.911177145,0.042191328
21,119663,0.634785098,0.037240686,0.001386869,0.869568627,0.051014638
22,12092-ORDEQ:20070814:R:SR,0.808801749,0.018714846,0.000350245,1.107947601,0.025636775
23,12181-ORDEQ:20000927:R:SR,0.774700654,0.029409258,0.000864904,1.061233773,0.040286655
24,123287,0.649486912,0.032861701,0.001079891,0.889708099,0.045016028
25,123315,0.779779449,0.029837485,0.000890276,1.068191026,0.040873267
26,123444,0.797309534,0.024922379,0.000621125,1.09220484,0.034140245
27,12521-ORDEQ:20070828:R:SR,0.703512588,0.032071287,0.001028567,0.963715874,0.04393327
28,125362,0.748723763,0.030380918,0.000923,1.02564899,0.041617696
29,126606,0.617451437,0.03251418,0.001057172,0.845823887,0.044539973
30,127205,0.767736013,0.032574399,0.001061091,1.051693168,0.044622465
31,12871-ORDEQ:20000811:R:SR,0.715144652,0.023583958,0.000556203,0.979650208,0.032306791
32,12889-ORDEQ:20160627:R:SR,0.749576096,0.0292261,0.000854165,1.02681657,0.040035753
33,130065,0.800844742,0.026361262,0.000694916,1.097047592,0.036111318
34,130067,0.780752673,0.036973184,0.001367016,1.069524209,0.050648197
35,130119,0.755269323,0.029920137,0.000895215,1.034615511,0.040986488
36,130124,0.807631964,0.029603771,0.000876383,1.106345157,0.04055311
37,131083,0.784645389,0.032634402,0.001065004,1.074856698,0.04470466
38,13200-ORDEQ:19980713:R:SR,0.709588067,0.039427052,0.001554492,0.972038448,0.05400966
39,13215-ORDEQ:19980715:R:SR,0.730862632,0.030065592,0.00090394,1.001181687,0.041185743
40,13224-ORDEQ:19980715:R:SR,0.748723647,0.018244387,0.000332858,1.025648831,0.024992311
41,13226-ORDEQ:19980708:R:SR,0.746323612,0.013552223,0.000183663,1.022361112,0.018564689
42,13231-ORDEQ:19990805:R:SR,0.711321719,0.024995624,0.000624781,0.974413314,0.034240581
43,13244-ORDEQ:19990909:R:SR,0.789235588,0.037191173,0.001383183,1.081144641,0.050946812
44,134605,0.628289708,0.037373034,0.001396744,0.860670832,0.051195937
45,134734,0.747228794,0.026079242,0.000680127,1.023601088,0.035724989
46,140016,0.745734226,0.022196371,0.000492679,1.021553734,0.030405987
47,143095,0.720781215,0.035249842,0.001242551,0.987371527,0.048287454
48,148021,0.687727843,0.038540541,0.001485373,0.942092936,0.052795261
49,149814,0.726241431,0.041632289,0.001733247,0.994851275,0.057030532
50,149822,0.647251329,0.05499901,0.003024891,0.886645656,0.07534111
51,150509,0.815613353,0.029726776,0.000883681,1.117278566,0.040721611
52,151144,0.682826062,0.043730686,0.001912373,0.935378166,0.05990505
53,151682,0.681601301,0.026036896,0.00067792,0.933700413,0.03566698
54,152645,0.677087589,0.037082683,0.001375125,0.927517246,0.050798196
55,153620,0.734587663,0.028492541,0.000811825,1.00628447,0.039030877
56,153706,0.685458381,0.043470859,0.001889716,0.938984083,0.059549121
57,155884,0.657867368,0.036962869,0.001366254,0.901188175,0.050634067
58,17007-ORDEQ:19980824:R:SR,0.736091098,0.027982143,0.000783,1.00834397,0.038331703
59,17010-ORDEQ:19980825:R:SR,0.697716404,0.026864758,0.000721715,0.955775896,0.036801038
60,210808,0.77611809,0.026370882,0.000695423,1.063175466,0.036124497
61,21821-ORDEQ:19980813:R:SR-3,0.64137052,0.045196731,0.002042744,0.878589753,0.06191333
62,21842-ORDEQ:20070806:R:SR,0.685669398,0.023562562,0.000555194,0.939273148,0.032277483
63,21855-ORDEQ:19990727:R:SR,0.758269534,0.03030738,0.000918537,1.038725389,0.041516959
64,21857-ORDEQ:19980808:R:SR-1,0.738543624,0.023352075,0.000545319,1.011703595,0.031989144
65,21864-ORDEQ:19990922:R:SR,0.706681938,0.025221734,0.000636136,0.96805745,0.034550321
66,21868-ORDEQ:19990831:R:SR,0.713229788,0.029637668,0.000878391,0.977027106,0.040599546
67,21876-ORDEQ:19990928:R:SR,0.711909378,0.032028514,0.001025826,0.975218326,0.043874677
68,21878-ORDEQ:19980729:R:SR-3,0.682159921,0.041660977,0.001735637,0.934465645,0.057069831
69,21881-ORDEQ:19990713:R:SR,0.753698969,0.026560526,0.000705462,1.032464341,0.036384282
70,22946-ORDEQ:20000822:R:SR,0.754594883,0.038321242,0.001468518,1.033691621,0.052494852
71,23844-ORDEQ:20000711:R:SR,0.779602184,0.0345074,0.001190761,1.067948198,0.047270411
72,23856-ORDEQ:20000712:R:SR,0.622696618,0.036361512,0.00132216,0.853009066,0.049810291
73,23901-ORDEQ:20000907:R:SR,0.77501445,0.035593902,0.001266926,1.06166363,0.04875877
74,23903-ORDEQ:20000822:R:SR,0.781811649,0.027347082,0.000747863,1.070974862,0.037461756
75,23925-ORDEQ:20000828:R:SR,0.809680544,0.028303154,0.000801069,1.109151431,0.038771444
76,23926-ORDEQ:20000823:R:SR,0.669808732,0.046649809,0.002176205,0.917546208,0.063903848
77,24043-ORDEQ:20000816:R:SR,0.731308506,0.029641379,0.000878611,1.001792475,0.040604628
78,24044-ORDEQ:20000913:R:SR,0.635108566,0.027655827,0.000764845,0.870011734,0.037884695
79,24046-ORDEQ:20000803:R:SR,0.763527307,0.029459446,0.000867859,1.045927817,0.040355405
80,24056-ORDEQ:20000913:R:SR,0.750649419,0.031021201,0.000962315,1.028286876,0.042494796
81,24062-ORDEQ:20000912:R:SR,0.65020032,0.031255106,0.000976882,0.89068537,0.042815213
82,24068-ORDEQ:20000808:R:SR,0.712807466,0.033013111,0.001089865,0.976448584,0.045223439
83,24412-ORDEQ:20000821:R:SR,0.739642648,0.018779176,0.000352657,1.013209107,0.025724898
84,24419-ORDEQ:20000815:R:SR,0.578023096,0.033384606,0.001114532,0.79181246,0.045732337
85,24426-ORDEQ:20010719:R:SR,0.573507495,0.039697518,0.001575893,0.785626705,0.054380162
86,24453-ORDEQ:20000829:R:SR,0.672921263,0.045772101,0.002095085,0.921809949,0.062701508
87,24455-ORDEQ:20000828:R:SR,0.729301415,0.025551118,0.00065286,0.999043035,0.035001531
88,25284-ORDEQ:20010807:R:SR,0.78318332,0.02581635,0.000666484,1.072853863,0.035364863
89,25374-ORDEQ:20010801:R:SR,0.71266581,0.022508945,0.000506653,0.976254534,0.030834171
