,sample,mean_MMI,sd_MMI,var_MMI,mean_MMI_rescale,sd_MMI_rescale,,,Subsample Count,OE_X,OE_sd,MMI_X,MMI_sd,MMI.rescale_sd,MMI.rescale_X
60,210808,0.789679415,0.024485948,0.000599562,1.081752623,0.033542395,,,,,,,,,
61,21821-ORDEQ:19980813:R:SR-3,0.657833915,0.029040615,0.000843357,0.901142349,0.039781664,,,,,,,,,
62,21842-ORDEQ:20070806:R:SR,0.718499805,0.019797526,0.000391942,0.984246308,0.027119899,,,,,,,,,
63,21855-ORDEQ:19990727:R:SR,0.777066052,0,0,1.064474044,0,,,,,,,,,
64,21857-ORDEQ:19980808:R:SR-1,0.752008289,0.012930155,0.000167189,1.03014834,0.017712541,,,,,,,,,
65,21864-ORDEQ:19990922:R:SR,0.733753722,0.007381588,5.45E-05,1.005142084,0.010111764,,,,,,,,,
66,21868-ORDEQ:19990831:R:SR,0.745051182,0,0,1.020618058,0,,,,,,,,,
67,21876-ORDEQ:19990928:R:SR,0.734145649,0,0,1.005678971,0,,,,,,,,,
68,21878-ORDEQ:19980729:R:SR-3,0.694527412,0.024123372,0.000581937,0.951407414,0.033045715,,,,,,,,,
69,21881-ORDEQ:19990713:R:SR,0.766507552,0.000536284,2.88E-07,1.050010346,0.000734636,,,,,,,,,
70,22946-ORDEQ:20000822:R:SR,0.776346619,0.020283342,0.000411414,1.063488519,0.0277854,,,,,,,,,
71,23844-ORDEQ:20000711:R:SR,0.810704856,0.014291053,0.000204234,1.110554597,0.019576785,,,,,,,,,
72,23856-ORDEQ:20000712:R:SR,0.664957177,0.022240006,0.000494618,0.910900243,0.030465762,,,,,,,,,
73,23901-ORDEQ:20000907:R:SR,0.812159592,0.032487171,0.001055416,1.112547386,0.044502974,,,,,,,,,
74,23903-ORDEQ:20000822:R:SR,0.79233995,0,0,1.085397191,0,,,,,,,,,
75,23925-ORDEQ:20000828:R:SR,0.821663316,0.022225973,0.000493994,1.125566186,0.030446538,,,,,,,,,
76,23926-ORDEQ:20000823:R:SR,0.713361811,0.050591866,0.002559537,0.977207961,0.069303926,,,,,,,,,
77,24043-ORDEQ:20000816:R:SR,0.757498168,0.02201297,0.000484571,1.037668724,0.030154753,,,,,,,,,
78,24044-ORDEQ:20000913:R:SR,0.64145706,0.022461427,0.000504516,0.878708301,0.030769078,,,,,,,,,
