"","sample","mean_MMI","sd_MMI","var_MMI"
"1","103CDCHHR:20100914:T:SR",0.778597669616207,0.0369928529124478,0.001368471166602
"2","103KLCMSR:20100914:T:SR",0.818924170177105,0.0276479672280199,0.000764410091841665
"3","103PS0281:20150722:T:SR",0.569154380708533,0.0636237301758562,0.00404797904149016
"4","103STCNSR:20110809:T:SR",0.60132347510132,0.0307412808439265,0.00094502634792516
"5","103WER026:20030729:R:SR",0.673246591639372,0.0432037869542367,0.00186656720718707
"6","103WER029:20030730:R:SR",0.754736110266207,0.0326241448559572,0.00106433482758248
"7","103WER030:20110810:T:SR",0.711730203351415,0.0291098249486084,0.000847381908538626
"8","105BVCAGC:20100921:T:SR",0.743147991943035,0.054045021168601,0.00292086431311453
"9","105FC1297:20140722:T:SR",0.681716295306289,0.0310355284690063,0.000963204027350499
"10","105FS0416:20130924:T:SR",0.664180526959925,0.0373962824189141,0.00139848193875518
"11","105FS0425:20110810:T:SR",0.6216070405291,0.0376206545516286,0.00141531364889297
"12","105FS0428:20110803:T:SR",0.653330895627593,0.0484429631279212,0.00234672067661313
"13","105PS0083:20090908:T:SR",0.675087392090941,0.0310571715650494,0.000964547905620914
"14","105PS0275:20150819:T:SR",0.537400591623921,0.0293552755641463,0.000861732203446964
"15","105TMCACC:20100810:T:SR",0.719070333060043,0.0431631740322281,0.00186305959253641
"16","105WLCABC:20110803:T:SR",0.709084739979615,0.0358849899047151,0.00128773250046151
"17","107GWCAPC:20100915:T:SR",0.751455883035765,0.0391867478109462,0.0015356012039987
"18","107WER092:20030812:R:SR",0.724674519741841,0.0459639900624221,0.00211268838245844
"19","11850-ORDEQ:19990729:R:SR",0.654715440043636,0.0430939815384467,0.00185709124483598
"20","119633",0.64263296418526,0.0348695963128946,0.00121588874702423
"21","119663",0.613807412796586,0.0420353250786594,0.00176696855446857
"22","12092-ORDEQ:20070814:R:SR",0.783567830018427,0.0236565881891302,0.000559634164750094
"23","12181-ORDEQ:20000927:R:SR",0.785282640520651,0.0313427686253427,0.000982369145101767
"24","123287",0.644634421188101,0.0401725397551689,0.00161383295038063
"25","123315",0.747778522645988,0.0484985059722369,0.0023521050815391
"26","123444",0.768124366624421,0.0415523751296004,0.00172659987891104
"27","12521-ORDEQ:20070828:R:SR",0.683722570696847,0.0321717013733463,0.00103501836925577
"28","125362",0.716694807909184,0.0394389012033173,0.00155542692812503
"29","126606",0.589838891285105,0.0461564005569929,0.00213041331237757
"30","127205",0.756550104113165,0.0329580903653867,0.00108623572053299
"31","12871-ORDEQ:20000811:R:SR",0.689535747665755,0.0318648327219866,0.00101536756440019
"32","12889-ORDEQ:20160627:R:SR",0.717817385650795,0.0299099060550614,0.000894602480222601
"33","130065",0.772530262690099,0.0279694961802933,0.000782292716579441
"34","130067",0.780204567007798,0.033447958637977,0.00111876593704782
"35","130119",0.748755170108325,0.0324626635727878,0.00105382452624
"36","130124",0.786344897527129,0.034820612266152,0.00121247503858969
"37","131083",0.788489596900071,0.0533950932115387,0.00285103597906891
"38","13200-ORDEQ:19980713:R:SR",0.668154511810831,0.0566045346613675,0.00320407334422996
"39","13215-ORDEQ:19980715:R:SR",0.69670519869011,0.0404773675983218,0.00163841728768967
"40","13224-ORDEQ:19980715:R:SR",0.74366635042877,0.0245560890199161,0.000603001507954046
"41","13226-ORDEQ:19980708:R:SR",0.737893806764652,0.0303910680694775,0.000923617018403615
