"","O","E","OoverE","Onull","Enull","OoverE.null","BC","BC.null"
"108303",11,10.4039504241904,1.05729069742814,11,10.2086330935252,1.07751937984496,0.224896347400066,0.212347354138399
"109907",16,13.4647929438343,1.18828414716371,11,10.2086330935252,1.07751937984496,0.228683978822745,0.227951153324288
"109909",16,15.3115722466222,1.04496127127178,9,10.2086330935252,0.881606765327696,0.293637099430471,0.29812734082397
"109910",14,11.4620147571224,1.2214257525101,13,10.2086330935252,1.27343199436223,0.191561854257762,0.171109733415995
"109913",15,11.3151813437571,1.32565263819443,13,10.2086330935252,1.27343199436223,0.182975255672711,0.166769993800372
"109915",9,12.1208605322854,0.742521537643917,8,10.2086330935252,0.783650458069063,0.365530856304092,0.348873962860529
"111021",13,14.5638365791392,0.892621935803704,9,10.2086330935252,0.881606765327696,0.278552541102527,0.271910112359551
"111040",12,13.0060886047254,0.922644798501536,12,10.2086330935252,1.17547568710359,0.283506088429568,0.181081956592161
"111113",10,14.0323248137657,0.712640288242901,6,10.2086330935252,0.587737843551797,0.360125093425969,0.362627607634265
"111116",11,10.8814692577953,1.01089289868827,12,10.2086330935252,1.17547568710359,0.232408962020545,0.206349206349206
"111137",13,12.8386548590054,1.01256713750517,11,10.2086330935252,1.07751937984496,0.272048594901573,0.213025780189959
"111138",16,13.0987159126065,1.22149377898953,13,10.2086330935252,1.27343199436223,0.215649919490015,0.177309361438314
"111140",12,16.2026373265919,0.740620169304507,10,10.2086330935252,0.979563072586328,0.313938334993476,0.224635101459594
"111148",14,14.7437873780486,0.949552488856697,12,10.2086330935252,1.17547568710359,0.257935054886256,0.190152251376741
"111149",10,13.2920443611679,0.752329719062219,9,10.2086330935252,0.881606765327696,0.33800727890049,0.273408239700375
"113048",11,12.0491947053133,0.912924080739551,11,10.2086330935252,1.07751937984496,0.260493054154091,0.21438263229308
"113100",15,13.8881944733375,1.08005400045319,10,10.2086330935252,0.979563072586328,0.28986580531073,0.224635101459594
"113114",15,14.4129365796118,1.04073170079848,10,10.2086330935252,0.979563072586328,0.274980219100989,0.265218939124244
"113118",9,10.4691316961619,0.85967014850902,9,10.2086330935252,0.881606765327696,0.279236655127113,0.292883895131086
"114305",12,13.1294527428216,0.91397564202064,10,10.2086330935252,0.979563072586328,0.278239114718912,0.234603061587754
"114320",11,10.3598469912426,1.06179174357484,11,10.2086330935252,1.07751937984496,0.194707489778449,0.201492537313433
"119633",13,9.5625222703407,1.35947395807078,13,10.2086330935252,1.27343199436223,0.152353433205382,0.166769993800372
"121257",8,10.3789337265569,0.770792088163177,8,10.2086330935252,0.783650458069063,0.310230934703354,0.296720663769261
"121258",12,10.2336790254259,1.17259882493731,12,10.2086330935252,1.17547568710359,0.189779952383973,0.188856494978944
"121259",11,10.3993442047183,1.05775900705442,11,10.2086330935252,1.07751937984496,0.252132875326573,0.261872455902307
"121261",11,10.3168984089169,1.0662119140858,11,10.2086330935252,1.07751937984496,0.21546513193332,0.227272727272727
"121271",10,13.3818426984297,0.747281239613846,10,10.2086330935252,0.979563072586328,0.319435321545699,0.236027055891776
"121276",12,10.2951519692888,1.16559716998806,12,10.2086330935252,1.17547568710359,0.195164351139563,0.201166180758017
"121277",8,10.462974280772,0.764600942841059,8,10.2086330935252,0.783650458069063,0.267977079576086,0.285657842749901
"121279",14,11.1120406606386,1.25989459790147,14,10.2086330935252,1.37138830162086,0.164708319047897,0.156612184249629
"121281",11,11.7038766252714,0.939859531349502,11,10.2086330935252,1.07751937984496,0.240236164177954,0.223202170963365
"121282",17,14.2415128858868,1.19369340436063,13,10.2086330935252,1.27343199436223,0.234393518660678,0.178549287042777
"121284",11,11.8739206393098,0.926399993240935,10,10.2086330935252,0.979563072586328,0.283894965970539,0.244571021715913
"154173",11,10.8327545938865,1.01543886226389,10,10.2086330935252,0.979563072586328,0.230686054408209,0.24314702741189
"156883",12,11.1471862679394,1.07650484270756,11,10.2086330935252,1.07751937984496,0.191305458677904,0.208276797829037
"173939",13,10.9847891306536,1.18345467039716,12,10.2086330935252,1.17547568710359,0.204675140713736,0.205701328150308
"174057",15,10.82613540209,1.38553596855108,14,10.2086330935252,1.37138830162086,0.161613982615927,0.156612184249629
"174170",16,14.8922207486385,1.07438643772875,13,10.2086330935252,1.27343199436223,0.259707443596034,0.171729696218227
"174313",12,13.969187285502,0.859033511022809,9,10.2086330935252,0.881606765327696,0.312210545337096,0.265168539325843
"174387",9,13.4081098383653,0.671235551356229,8,10.2086330935252,0.783650458069063,0.414869442077405,0.325167917819044
"174393",17,14.7245235583908,1.15453650724831,11,10.2086330935252,1.07751937984496,0.240468192701661,0.237449118046133
"174394",16,14.7453793218384,1.08508568350653,10,10.2086330935252,0.979563072586328,0.243835327743485,0.236739053043788
"174399",13,13.5886705972019,0.956679309209017,11,10.2086330935252,1.07751937984496,0.237369333168891,0.201492537313433
"174426",15,14.6735409749671,1.02224814212124,11,10.2086330935252,1.07751937984496,0.275370592281286,0.240841248303935
"174511",11,12.1482451864835,0.905480571979151,10,10.2086330935252,0.979563072586328,0.312219740515402,0.257386970452118
"174530",14,15.7914743083004,0.886554334742593,10,10.2086330935252,0.979563072586328,0.261614181956736,0.226771092915628
"174547",16,14.1679680527196,1.12930802359685,11,10.2086330935252,1.07751937984496,0.235279201347815,0.217096336499322
"174571",15,12.1952330364257,1.22998879604816,12,10.2086330935252,1.17547568710359,0.200423242448442,0.194039520570133
"174572",11,12.6218118156353,0.871507209953304,10,10.2086330935252,0.979563072586328,0.281062966225201,0.237451050195799
