"","O","E","OoverE","Onull","Enull","OoverE.null","BC","BC.null"
"109845",16,16.3386492961965,0.979273115539893,18,19.3529411764706,0.930091185410334,0.251162844541171,0.289763779527559
"151721",23,20.4490870786517,1.12474458696063,22,19.3529411764706,1.13677811550152,0.246123013018918,0.253200568990043
"173806",17,16.3664456637708,1.03871056362786,18,19.3529411764706,0.930091185410334,0.241421130587014,0.288188976377953
"174363",15,17.5195822454308,0.85618479880775,15,19.3529411764706,0.775075987841945,0.334403853873946,0.357876712328767
"174808",25,21.9885024487297,1.13695782867852,23,19.3529411764706,1.18844984802432,0.224465359462222,0.231944444444444
"175045",19,19.5234527290448,0.973188516585179,19,19.3529411764706,0.981762917933131,0.267991880679084,0.269938650306748
"175228",26,20.722602739726,1.25466864980995,25,19.3529411764706,1.29179331306991,0.188851425639522,0.210875331564987
"175243",17,17.5607407407407,0.968068502973805,19,19.3529411764706,0.981762917933131,0.274003900808025,0.27760736196319
"175343",16,18.1833333333333,0.879926672777269,16,19.3529411764706,0.826747720364742,0.303266699171136,0.32279534109817
"175345",17,16.3556560917486,1.03939578483657,18,19.3529411764706,0.930091185410334,0.225422653171831,0.266141732283465
"175346",16,17.5589502117097,0.911216206384018,17,19.3529411764706,0.878419452887538,0.277020625834121,0.305825242718447
"175510",27,20.8603448275862,1.29432184478056,26,19.3529411764706,1.34346504559271,0.180242644027363,0.201037613488975
"175787",26,23.3763145861911,1.11223691416947,24,19.3529411764706,1.24012158054711,0.220311352088851,0.218453188602442
"175788",22,21.9876039304611,1.00056377536989,21,19.3529411764706,1.08510638297872,0.247266116338692,0.249271137026239
"175805",18,19.8666916541729,0.906039128876255,18,19.3529411764706,0.930091185410334,0.284139212872077,0.296062992125984
"175844",13,17.5581805359662,0.740395622050407,14,19.3529411764706,0.723404255319149,0.335777667516703,0.358024691358025
"175864",20,18.2893869731801,1.09353036432158,21,19.3529411764706,1.08510638297872,0.284222892211261,0.294460641399417
"175894",25,20.4441056910569,1.22284634885917,24,19.3529411764706,1.24012158054711,0.212922171450248,0.225237449118046
"176019",14,16.2246121297602,0.862886575533002,14,19.3529411764706,0.723404255319149,0.303848711457471,0.350970017636684
"176022",15,16.2461430575035,0.923296067682479,16,19.3529411764706,0.826747720364742,0.264343051222778,0.324459234608985
"176079",14,20.8655660377358,0.67096190799141,14,19.3529411764706,0.723404255319149,0.352931670762964,0.36331569664903
"176136",15,19.4150554047942,0.772596301543183,15,19.3529411764706,0.775075987841945,0.323779617845905,0.323630136986301
"176137",24,20.5392857142857,1.16849243609807,24,19.3529411764706,1.24012158054711,0.214602767309046,0.226594301221167
"176138",22,20.8679577464789,1.05424786973762,22,19.3529411764706,1.13677811550152,0.225172377601635,0.231863442389758
"176139",18,16.2293683725219,1.10910046446884,21,19.3529411764706,1.08510638297872,0.220403132934196,0.250728862973761
"176140",21,18.3373235113567,1.14520529601794,23,19.3529411764706,1.18844984802432,0.212334485529919,0.220833333333333
"176141",16,17.571299043851,0.910575817989914,17,19.3529411764706,0.878419452887538,0.26743058334786,0.29126213592233
"176146",21,20.7634447674419,1.01139287026828,20,19.3529411764706,1.03343465045593,0.243008245383542,0.266068759342302
"176147",19,19.685619212963,0.965171569888364,19,19.3529411764706,0.981762917933131,0.277211117136321,0.282208588957055
"176234",21,20.7306338028169,1.01299363057325,21,19.3529411764706,1.08510638297872,0.250537906594102,0.244897959183673
"185358",17,16.9437839673913,1.00331779682253,17,19.3529411764706,0.878419452887538,0.24766657271248,0.29126213592233
"185369",16,16.9451179554391,0.944224763856796,18,19.3529411764706,0.930091185410334,0.275075101954668,0.299212598425197
"185370",14,16.9912790697674,0.823952095808383,17,19.3529411764706,0.878419452887538,0.334114998593003,0.330097087378641
"185379",22,18.2353592909148,1.20644730103896,22,19.3529411764706,1.13677811550152,0.214801323330986,0.231863442389758
